source_id,audit_status,is_financial,financial_domain,family,required,path_type,automatable,producer_importable,needs_key,producer_script,producer_basename,producer_name_aligned,expected_outputs_count,outputs_present_count,offline_input,blocker,recommended_action
cms_open_payments,wired_ready_unmaterialized,True,federal_awards,federal,False,api_adapter,True,True,,scripts/download_cms.py,download_cms.py,True,1,0,,needs a producer run (network egress),Materialize via `python -m moneysweep.query --source <id>` (set key if gated).
doe_grants,wired_ready_unmaterialized,True,federal_awards,federal,False,api_adapter,True,True,,scripts/download_doe.py,download_doe.py,True,1,0,,needs a producer run (network egress),Materialize via `python -m moneysweep.query --source <id>` (set key if gated).
doj_grants,wired_ready_unmaterialized,True,federal_awards,federal,False,api_adapter,True,True,,scripts/download_doj_grants.py,download_doj_grants.py,True,1,0,,needs a producer run (network egress),Materialize via `python -m moneysweep.query --source <id>` (set key if gated).
dol_whd_osha,wired_ready_unmaterialized,True,federal_awards,federal,False,api_producer,True,True,,scripts/download_dol.py,download_dol.py,True,1,0,,needs a producer run (network egress),"Run producer under strict preflight; public API path, set key if gated."
dot_grants,wired_ready_unmaterialized,True,federal_awards,federal,False,api_adapter,True,True,,scripts/download_dot.py,download_dot.py,True,1,0,,needs a producer run (network egress),Materialize via `python -m moneysweep.query --source <id>` (set key if gated).
ed_grants,wired_ready_unmaterialized,True,federal_awards,federal,False,api_adapter,True,True,,scripts/download_ed.py,download_ed.py,True,1,0,,needs a producer run (network egress),Materialize via `python -m moneysweep.query --source <id>` (set key if gated).
epa_grants,wired_ready_unmaterialized,True,federal_awards,federal,False,api_adapter,True,True,,scripts/download_epa.py,download_epa.py,True,1,0,,needs a producer run (network egress),Materialize via `python -m moneysweep.query --source <id>` (set key if gated).
exim_bank,wired_ready_unmaterialized,True,federal_awards,federal,False,api_adapter,True,True,,scripts/download_exim.py,download_exim.py,True,1,0,,needs a producer run (network egress),Materialize via `python -m moneysweep.query --source <id>` (set key if gated).
fcc_usf,wired_ready_unmaterialized,True,federal_awards,federal,False,api_producer,True,True,,scripts/download_fcc.py,download_fcc.py,True,1,0,,needs a producer run (network egress),"Run producer under strict preflight; public API path, set key if gated."
fdic,wired_ready_unmaterialized,True,federal_awards,federal,False,api_adapter,True,True,,scripts/download_fdic.py,download_fdic.py,True,2,0,,needs a producer run (network egress),Materialize via `python -m moneysweep.query --source <id>` (set key if gated).
fema_hmgp,wired_ready_unmaterialized,True,federal_awards,federal,False,api_adapter,True,True,,scripts/download_fema.py,download_fema.py,True,1,0,,needs a producer run (network egress),Materialize via `python -m moneysweep.query --source <id>` (set key if gated).
fema_individual_assistance,wired_ready_unmaterialized,True,federal_awards,federal,False,api_producer,True,True,,scripts/download_fema_ia.py,download_fema_ia.py,False,1,0,,needs a producer run (network egress),"Run producer under strict preflight; public API path, set key if gated."
fhlb,wired_ready_unmaterialized,True,federal_awards,federal,False,api_adapter,True,True,,scripts/download_fhlb.py,download_fhlb.py,True,1,0,,needs a producer run (network egress),Materialize via `python -m moneysweep.query --source <id>` (set key if gated).
gao_ig_audits,wired_ready_unmaterialized,True,federal_awards,federal,False,api_producer,True,True,,scripts/download_gao_ig.py,download_gao_ig.py,True,1,0,,needs a producer run (network egress),"Run producer under strict preflight; public API path, set key if gated."
grants_gov,wired_ready_unmaterialized,True,federal_awards,federal,False,api_adapter,True,True,,scripts/download_grants.py,download_grants.py,True,1,0,,needs a producer run (network egress),Materialize via `python -m moneysweep.query --source <id>` (set key if gated).
haf,wired_ready_unmaterialized,True,federal_awards,federal,False,api_adapter,True,True,,scripts/download_haf.py,download_haf.py,True,1,0,,needs a producer run (network egress),Materialize via `python -m moneysweep.query --source <id>` (set key if gated).
hhs_grants,wired_ready_unmaterialized,True,federal_awards,federal,False,api_adapter,True,True,,scripts/download_hhs.py,download_hhs.py,True,1,0,,needs a producer run (network egress),Materialize via `python -m moneysweep.query --source <id>` (set key if gated).
hud_cdbg_mit,wired_ready_unmaterialized,True,federal_awards,federal,False,api_producer,True,True,,scripts/download_cdbg_mit.py,download_cdbg_mit.py,True,1,0,,needs a producer run (network egress),"Run producer under strict preflight; public API path, set key if gated."
hud_hcv_section8,wired_ready_unmaterialized,True,federal_awards,federal,False,api_adapter,True,True,,scripts/download_hud_hcv.py,download_hud_hcv.py,True,1,0,,needs a producer run (network egress),Materialize via `python -m moneysweep.query --source <id>` (set key if gated).
lihtc,wired_ready_unmaterialized,True,federal_awards,federal,False,api_producer,True,True,,scripts/download_lihtc.py,download_lihtc.py,True,1,0,,needs a producer run (network egress),"Run producer under strict preflight; public API path, set key if gated."
medicaid_fmap,wired_ready_unmaterialized,True,federal_awards,federal,False,api_adapter,True,True,,scripts/download_medicaid_fmap.py,download_medicaid_fmap.py,True,1,0,,needs a producer run (network egress),Materialize via `python -m moneysweep.query --source <id>` (set key if gated).
medicare_advantage,wired_ready_unmaterialized,True,federal_awards,federal,False,api_adapter,True,True,,scripts/download_medicare_advantage.py,download_medicare_advantage.py,True,1,0,,needs a producer run (network egress),Materialize via `python -m moneysweep.query --source <id>` (set key if gated).
medicare_parts,wired_ready_unmaterialized,True,federal_awards,federal,False,api_adapter,True,True,,scripts/download_medicare_parts.py,download_medicare_parts.py,True,1,0,,needs a producer run (network egress),Materialize via `python -m moneysweep.query --source <id>` (set key if gated).
ncua,wired_ready_unmaterialized,True,federal_awards,federal,False,api_producer,True,True,,scripts/download_ncua.py,download_ncua.py,True,1,0,,needs a producer run (network egress),"Run producer under strict preflight; public API path, set key if gated."
nfip_claims,wired_ready_unmaterialized,True,federal_awards,federal,False,api_adapter,True,True,,scripts/download_nfip.py,download_nfip.py,True,1,0,,needs a producer run (network egress),Materialize via `python -m moneysweep.query --source <id>` (set key if gated).
nih_reporter,wired_ready_unmaterialized,True,federal_awards,federal,False,api_adapter,True,True,,scripts/download_nih.py,download_nih.py,True,1,0,,needs a producer run (network egress),Materialize via `python -m moneysweep.query --source <id>` (set key if gated).
nmtc,wired_ready_unmaterialized,True,federal_awards,federal,False,api_producer,True,True,,scripts/download_nmtc.py,download_nmtc.py,True,1,0,,needs a producer run (network egress),"Run producer under strict preflight; public API path, set key if gated."
nonprofits_irs990,wired_ready_unmaterialized,True,federal_awards,federal,False,api_adapter,True,True,,scripts/download_nonprofits.py,download_nonprofits.py,True,1,0,,needs a producer run (network egress),Materialize via `python -m moneysweep.query --source <id>` (set key if gated).
oia_grants,wired_ready_unmaterialized,True,federal_awards,federal,False,api_adapter,True,True,,scripts/download_oia.py,download_oia.py,True,1,0,,needs a producer run (network egress),Materialize via `python -m moneysweep.query --source <id>` (set key if gated).
opm_fedscope,wired_ready_unmaterialized,True,federal_awards,federal,False,api_producer,True,True,,scripts/download_opm_fedscope.py,download_opm_fedscope.py,True,1,0,,needs a producer run (network egress),"Run producer under strict preflight; public API path, set key if gated."
opportunity_zones,wired_ready_unmaterialized,True,federal_awards,federal,False,api_producer,True,True,,scripts/download_opportunity_zones.py,download_opportunity_zones.py,True,1,0,,needs a producer run (network egress),"Run producer under strict preflight; public API path, set key if gated."
research_grants,wired_ready_unmaterialized,True,federal_awards,federal,False,api_adapter,True,True,,scripts/download_research.py,download_research.py,True,1,0,,needs a producer run (network egress),Materialize via `python -m moneysweep.query --source <id>` (set key if gated).
sba_loans,wired_ready_unmaterialized,True,federal_awards,federal,False,api_adapter,True,True,,scripts/download_sba.py,download_sba.py,True,1,0,,needs a producer run (network egress),Materialize via `python -m moneysweep.query --source <id>` (set key if gated).
sba_ppp,wired_ready_unmaterialized,True,federal_awards,federal,False,api_adapter,True,True,,scripts/download_sba.py,download_sba.py,True,1,0,,needs a producer run (network egress),Materialize via `python -m moneysweep.query --source <id>` (set key if gated).
sbir,wired_ready_unmaterialized,True,federal_awards,federal,False,api_adapter,True,True,,scripts/download_sbir.py,download_sbir.py,True,1,0,,needs a producer run (network egress),Materialize via `python -m moneysweep.query --source <id>` (set key if gated).
sec_13f_nport,wired_ready_unmaterialized,True,federal_awards,federal,False,api_producer,True,True,,scripts/download_sec_holdings.py,download_sec_holdings.py,False,1,0,,needs a producer run (network egress),"Run producer under strict preflight; public API path, set key if gated."
sec_edgar,wired_ready_unmaterialized,True,federal_awards,federal,False,api_producer,True,True,,scripts/download_sec.py,download_sec.py,True,2,0,,needs a producer run (network egress),"Run producer under strict preflight; public API path, set key if gated."
sf133_budget_execution,wired_ready_unmaterialized,True,federal_awards,federal,False,api_producer,True,True,,scripts/download_sf133.py,download_sf133.py,True,1,0,,needs a producer run (network egress),"Run producer under strict preflight; public API path, set key if gated."
slfrf,wired_ready_unmaterialized,True,federal_awards,federal,False,api_adapter,True,True,,scripts/download_slfrf.py,download_slfrf.py,True,1,0,,needs a producer run (network egress),Materialize via `python -m moneysweep.query --source <id>` (set key if gated).
snap_nap,wired_ready_unmaterialized,True,federal_awards,federal,False,api_adapter,True,True,,scripts/download_snap_nap.py,download_snap_nap.py,True,1,0,,needs a producer run (network egress),Materialize via `python -m moneysweep.query --source <id>` (set key if gated).
ssa,wired_ready_unmaterialized,True,federal_awards,federal,False,api_producer,True,True,,scripts/download_ssa.py,download_ssa.py,True,1,0,,needs a producer run (network egress),"Run producer under strict preflight; public API path, set key if gated."
usace_civil_works,wired_ready_unmaterialized,True,federal_awards,federal,False,api_adapter,True,True,,scripts/download_usace_civil.py,download_usace_civil.py,True,1,0,,needs a producer run (network egress),Materialize via `python -m moneysweep.query --source <id>` (set key if gated).
usace_permits,wired_ready_unmaterialized,True,federal_awards,federal,False,api_producer,True,True,,scripts/download_usace_permits.py,download_usace_permits.py,True,1,0,,needs a producer run (network egress),"Run producer under strict preflight; public API path, set key if gated."
usaspending_loans,wired_ready_unmaterialized,True,federal_awards,federal,False,api_producer,True,True,,scripts/download_usaspending_loans.py,download_usaspending_loans.py,True,1,0,,needs a producer run (network egress),"Run producer under strict preflight; public API path, set key if gated."
usda_farm_subsidies,wired_ready_unmaterialized,True,federal_awards,federal,False,api_producer,True,True,,scripts/download_usda_farm.py,download_usda_farm.py,True,1,0,,needs a producer run (network egress),"Run producer under strict preflight; public API path, set key if gated."
usda_grants,wired_ready_unmaterialized,True,federal_awards,federal,False,api_adapter,True,True,,scripts/download_usda.py,download_usda.py,True,1,0,,needs a producer run (network egress),Materialize via `python -m moneysweep.query --source <id>` (set key if gated).
va_benefits,wired_ready_unmaterialized,True,federal_awards,federal,False,api_adapter,True,True,,scripts/download_va.py,download_va.py,True,1,0,,needs a producer run (network egress),Materialize via `python -m moneysweep.query --source <id>` (set key if gated).
wic,wired_ready_unmaterialized,True,federal_awards,federal,False,api_adapter,True,True,,scripts/download_wic.py,download_wic.py,True,1,0,,needs a producer run (network egress),Materialize via `python -m moneysweep.query --source <id>` (set key if gated).
wioa,wired_ready_unmaterialized,True,federal_awards,federal,False,api_adapter,True,True,,scripts/download_wioa.py,download_wioa.py,True,1,0,,needs a producer run (network egress),Materialize via `python -m moneysweep.query --source <id>` (set key if gated).
fhwa_hpms_routes,wired_ready_unmaterialized,True,infrastructure_contracts,infrastructure,False,api_producer,True,True,,scripts/ingest_fhwa_hpms_routes.py,ingest_fhwa_hpms_routes.py,True,1,0,,needs a producer run (network egress),"Run producer under strict preflight; public API path, set key if gated."
fhwa_nbi_bridges,wired_ready_unmaterialized,True,infrastructure_contracts,infrastructure,False,api_producer,True,True,,scripts/ingest_fhwa_nbi_bridges.py,ingest_fhwa_nbi_bridges.py,True,1,0,,needs a producer run (network egress),"Run producer under strict preflight; public API path, set key if gated."
fta_ntd,wired_ready_unmaterialized,True,infrastructure_contracts,infrastructure,False,api_producer,True,True,,scripts/download_fta_ntd.py,download_fta_ntd.py,True,1,0,,needs a producer run (network egress),"Run producer under strict preflight; public API path, set key if gated."
prasa_contracts_master,wired_ready_unmaterialized,True,infrastructure_contracts,infrastructure,False,api_producer,True,True,,scripts/build_prasa_contracts_master.py,build_prasa_contracts_master.py,True,1,0,,needs a producer run (network egress),"Run producer under strict preflight; public API path, set key if gated."
prepa_luma_genera,wired_ready_unmaterialized,True,infrastructure_contracts,infrastructure,False,api_producer,True,True,,scripts/download_prepa_contracts.py,download_prepa_contracts.py,False,1,0,,needs a producer run (network egress),"Run producer under strict preflight; public API path, set key if gated."
roadwatch_corridor_join,wired_ready_unmaterialized,True,infrastructure_contracts,infrastructure,False,api_producer,True,True,,scripts/build_roadwatch_corridor_join.py,build_roadwatch_corridor_join.py,True,1,0,,needs a producer run (network egress),"Run producer under strict preflight; public API path, set key if gated."
emma_infra_revenue,wired_ready_unmaterialized,True,infrastructure_revenue,infrastructure_revenue,False,api_producer,True,True,,scripts/extract_emma_revenue.py,extract_emma_revenue.py,False,1,0,,needs a producer run (network egress),"Run producer under strict preflight; public API path, set key if gated."
ngo_integration_layer,wired_ready_unmaterialized,True,nonprofit_funding,nonprofit,False,api_producer,True,True,,scripts/ngo_integration.py,ngo_integration.py,True,3,0,,needs a producer run (network egress),"Run producer under strict preflight; public API path, set key if gated."
campaign_finance_entities,wired_ready_unmaterialized,True,political_finance,political_finance,True,api_producer,True,True,,scripts/build_campaign_finance_entities.py,build_campaign_finance_entities.py,True,4,0,,needs a producer run (network egress),"Run producer under strict preflight; public API path, set key if gated."
campaign_finance_materialization_gate,wired_ready_unmaterialized,True,political_finance,political_finance,True,api_producer,True,True,,scripts/validate_campaign_finance_materialization.py,validate_campaign_finance_materialization.py,False,1,0,,needs a producer run (network egress),"Run producer under strict preflight; public API path, set key if gated."
aafaf,wired_ready_unmaterialized,True,territorial_spending,territorial,False,api_producer,True,True,,scripts/download_aafaf.py,download_aafaf.py,True,1,0,,needs a producer run (network egress),"Run producer under strict preflight; public API path, set key if gated."
asg_emergency_purchases,wired_ready_unmaterialized,True,territorial_spending,territorial,False,api_producer,True,True,,scripts/scrape_asg_emergency_purchases.py,scrape_asg_emergency_purchases.py,True,1,0,,needs a producer run (network egress),"Run producer under strict preflight; public API path, set key if gated."
cofina,wired_ready_unmaterialized,True,territorial_spending,territorial,False,api_producer,True,True,,scripts/download_cofina.py,download_cofina.py,True,1,0,,needs a producer run (network egress),"Run producer under strict preflight; public API path, set key if gated."
compras_pr,wired_ready_unmaterialized,True,territorial_spending,territorial,False,api_producer,True,True,,scripts/download_compras.py,download_compras.py,True,2,0,,needs a producer run (network egress),"Run producer under strict preflight; public API path, set key if gated."
eqb_epa_icis,wired_ready_unmaterialized,True,territorial_spending,territorial,False,api_producer,True,True,,scripts/download_epa_echo_icis.py,download_epa_echo_icis.py,False,1,0,,needs a producer run (network egress),"Run producer under strict preflight; public API path, set key if gated."
estadisticas_pr_external_trade,wired_ready_unmaterialized,True,territorial_spending,territorial,False,api_producer,True,True,,scripts/download_estadisticas_pr.py,download_estadisticas_pr.py,True,1,0,,needs a producer run (network egress),"Run producer under strict preflight; public API path, set key if gated."
hacienda,wired_ready_unmaterialized,True,territorial_spending,territorial,False,api_producer,True,True,,scripts/download_hacienda.py,download_hacienda.py,True,1,0,,needs a producer run (network egress),"Run producer under strict preflight; public API path, set key if gated."
ocpr_contracts,wired_ready_unmaterialized,True,territorial_spending,territorial,False,api_producer,True,True,,scripts/scrape_ocpr_contracts.py,scrape_ocpr_contracts.py,True,1,0,,needs a producer run (network egress),"Run producer under strict preflight; public API path, set key if gated."
p3_authority,wired_ready_unmaterialized,True,territorial_spending,territorial,False,api_producer,True,True,,scripts/download_p3.py,download_p3.py,True,1,0,,needs a producer run (network egress),"Run producer under strict preflight; public API path, set key if gated."
pr_act_60_decrees,wired_ready_unmaterialized,True,territorial_spending,territorial,False,api_producer,True,True,,scripts/download_act60.py,download_act60.py,False,1,0,,needs a producer run (network egress),"Run producer under strict preflight; public API path, set key if gated."
pr_general_fund_revenues,wired_ready_unmaterialized,True,territorial_spending,territorial,False,api_producer,True,True,,scripts/download_estadisticas_pr.py,download_estadisticas_pr.py,False,1,0,,needs a producer run (network egress),"Run producer under strict preflight; public API path, set key if gated."
pr_income_tax_collections,wired_ready_unmaterialized,True,territorial_spending,territorial,False,api_producer,True,True,,scripts/download_estadisticas_pr.py,download_estadisticas_pr.py,False,1,0,,needs a producer run (network egress),"Run producer under strict preflight; public API path, set key if gated."
pr_pensions,wired_ready_unmaterialized,True,territorial_spending,territorial,False,api_producer,True,True,,scripts/download_pr_pensions.py,download_pr_pensions.py,True,1,0,,needs a producer run (network egress),"Run producer under strict preflight; public API path, set key if gated."
promesa_creditors,wired_ready_unmaterialized,True,territorial_spending,territorial,False,api_producer,True,True,,scripts/download_promesa_creditors.py,download_promesa_creditors.py,True,1,0,,needs a producer run (network egress),"Run producer under strict preflight; public API path, set key if gated."
rdc_demandas_civiles,wired_ready_unmaterialized,True,territorial_spending,territorial,False,api_producer,True,True,,scripts/scrape_rdc_demandas.py,scrape_rdc_demandas.py,False,1,0,,needs a producer run (network egress),"Run producer under strict preflight; public API path, set key if gated."
rum_cover_over,wired_ready_unmaterialized,True,territorial_spending,territorial,False,api_producer,True,True,,scripts/download_rum_coverover.py,download_rum_coverover.py,False,1,0,,needs a producer run (network egress),"Run producer under strict preflight; public API path, set key if gated."
centinelas_pre_official_signals,wired_ready_unmaterialized,True,uncategorized,pre_officialization,False,api_producer,True,True,,scripts/ingest_centinelas_signals.py,ingest_centinelas_signals.py,False,2,0,,needs a producer run (network egress),"Run producer under strict preflight; public API path, set key if gated."
legislapr_discovery,wired_ready_unmaterialized,True,uncategorized,territorial_legislation,False,api_producer,True,True,,scripts/probe_legislapr_detail.py,probe_legislapr_detail.py,False,1,0,,needs a producer run (network egress),"Run producer under strict preflight; public API path, set key if gated."
legislapr_sessions,wired_ready_unmaterialized,True,uncategorized,territorial_legislation,False,api_producer,True,True,,scripts/ingest_legislapr_sessions.py,ingest_legislapr_sessions.py,True,1,0,,needs a producer run (network egress),"Run producer under strict preflight; public API path, set key if gated."
legislative_fiscal_link_candidates,wired_ready_unmaterialized,True,uncategorized,territorial_legislation,False,api_producer,True,True,,scripts/build_legislative_links.py,build_legislative_links.py,False,1,0,,needs a producer run (network egress),"Run producer under strict preflight; public API path, set key if gated."
osl_sutra_crosswalk,wired_ready_unmaterialized,True,uncategorized,territorial_legislation,False,api_producer,True,True,,scripts/build_osl_sutra_crosswalk.py,build_osl_sutra_crosswalk.py,True,1,0,,needs a producer run (network egress),"Run producer under strict preflight; public API path, set key if gated."
pr_fomb,wired_ready_unmaterialized,True,uncategorized,territorial_fiscal_oversight,False,api_producer,True,True,,scripts/download_fomb.py,download_fomb.py,True,5,0,,needs a producer run (network egress),"Run producer under strict preflight; public API path, set key if gated."
pr_fomb_special_reports,wired_ready_unmaterialized,True,uncategorized,territorial_fiscal_oversight,False,api_producer,True,True,,scripts/download_fomb_special_reports.py,download_fomb_special_reports.py,True,1,0,,needs a producer run (network egress),"Run producer under strict preflight; public API path, set key if gated."
sec_13f_bpop_8q_certification,wired_ready_unmaterialized,True,uncategorized,capital_control,False,api_producer,True,True,,scripts/certify_bpop_sec13f_8q.py,certify_bpop_sec13f_8q.py,False,3,0,,needs a producer run (network egress),"Run producer under strict preflight; public API path, set key if gated."
sec_13f_bpop_golden_freeze,wired_ready_unmaterialized,True,uncategorized,capital_control,False,api_producer,True,True,,scripts/acquire_sec13f_bpop_golden.py,acquire_sec13f_bpop_golden.py,False,1,0,,needs a producer run (network egress),"Run producer under strict preflight; public API path, set key if gated."
sec_equity_identity_v2,wired_ready_unmaterialized,True,uncategorized,capital_control,False,api_producer,True,True,,scripts/download_sec_equity_v2.py,download_sec_equity_v2.py,False,4,0,,needs a producer run (network egress),"Run producer under strict preflight; public API path, set key if gated."
sec_holdings_discovery_v2,wired_ready_unmaterialized,True,uncategorized,capital_control,False,api_producer,True,True,,scripts/rematerialize_sec_holdings_discovery_v2.py,rematerialize_sec_holdings_discovery_v2.py,True,1,0,,needs a producer run (network egress),"Run producer under strict preflight; public API path, set key if gated."
asg_suppliers,wired_ready_unmaterialized,False,entity_resolution,entity_resolution,False,api_producer,True,True,,scripts/scrape_asg_suppliers.py,scrape_asg_suppliers.py,True,1,0,,needs a producer run (network egress),"Run producer under strict preflight; public API path, set key if gated."
gleif_lei,wired_ready_unmaterialized,False,entity_resolution,entity_resolution,False,api_producer,True,True,,scripts/download_gleif.py,download_gleif.py,True,2,0,,needs a producer run (network egress),"Run producer under strict preflight; public API path, set key if gated."
ofac_sdn,wired_ready_unmaterialized,False,entity_resolution,entity_resolution,False,api_adapter,True,True,,scripts/download_ofac.py,download_ofac.py,True,1,0,,needs a producer run (network egress),Materialize via `python -m moneysweep.query --source <id>` (set key if gated).
sec_officers,wired_ready_unmaterialized,False,entity_resolution,entity_resolution,False,api_producer,True,True,,scripts/download_sec_officers.py,download_sec_officers.py,True,1,0,,needs a producer run (network egress),"Run producer under strict preflight; public API path, set key if gated."
eia_power_sector,wired_needs_key,True,federal_awards,federal,False,api_producer,True,True,EIA_API_KEY,scripts/download_eia.py,download_eia.py,True,1,0,,API key EIA_API_KEY not set,"Run producer under strict preflight; public API path, set key if gated."
federal_audit_clearinghouse,wired_needs_key,True,federal_awards,federal,False,api_producer,True,True,FAC_API_KEY,scripts/download_fac.py,download_fac.py,False,1,0,,API key FAC_API_KEY not set,"Run producer under strict preflight; public API path, set key if gated."
fred_timeseries,wired_needs_key,True,federal_awards,federal,False,api_producer,True,True,FRED_API_KEY,scripts/download_fred.py,download_fred.py,True,1,0,,API key FRED_API_KEY not set,"Run producer under strict preflight; public API path, set key if gated."
sam_opportunities,wired_needs_key,True,federal_awards,federal,False,api_producer,True,True,SAM_API_KEY,scripts/download_sam_opportunities.py,download_sam_opportunities.py,True,1,0,,API key SAM_API_KEY not set,"Run producer under strict preflight; public API path, set key if gated."
municipal_finance,wired_needs_key,True,municipal_finance,municipal,False,api_producer,True,True,FAC_API_KEY,scripts/download_fac_municipal.py,download_fac_municipal.py,False,1,0,,API key FAC_API_KEY not set,"Run producer under strict preflight; public API path, set key if gated."
fec_committees,wired_needs_key,True,political_finance,political_finance,False,api_producer,True,True,FEC_API_KEY,scripts/download_fec_committees.py,download_fec_committees.py,True,3,0,,API key FEC_API_KEY not set,"Run producer under strict preflight; public API path, set key if gated."
census_gov_finances,wired_needs_key,True,territorial_spending,territorial,False,api_producer,True,True,CENSUS_API_KEY,scripts/download_census_gov_finances.py,download_census_gov_finances.py,True,1,0,,API key CENSUS_API_KEY not set,"Run producer under strict preflight; public API path, set key if gated."
legislative_canonical_sources,wired_needs_key,True,uncategorized,territorial_legislation,False,api_producer,True,True,OPENSTATES_API_KEY,scripts/fetch_legislative_canonical_sources.py,fetch_legislative_canonical_sources.py,True,1,0,,API key OPENSTATES_API_KEY not set,"Run producer under strict preflight; public API path, set key if gated."
financialdata_net,wired_needs_key,False,commercial_enrichment,optional_commercial_enrichment,False,api_producer,True,True,FINANCIALDATA_API_KEY,scripts/enrichment/enrich_financialdata_entities.py,enrich_financialdata_entities.py,False,4,0,,API key FINANCIALDATA_API_KEY not set,"Run producer under strict preflight; public API path, set key if gated."
