source_id,family,required,authentication,producer_script,producer_script_exists,producer_wired_in_run_all,declared_status,expected_outputs,outputs_on_disk_count,outputs_on_disk,audit_status,audit_note,registry_blocker_notes
epa_grants,federal,False,none,scripts/download_epa.py,True,True,not_materialized,data/staging/processed/pr_epa_grants.csv,0,,READY_NOT_MATERIALIZED,Producer wired and unblocked; never executed in this clone,
dot_grants,federal,False,none,scripts/download_dot.py,True,False,not_materialized,data/staging/processed/pr_dot_grants.csv,0,,BLOCKED_NOT_WIRED,Producer script exists but is not imported by run_all.py,
usda_grants,federal,False,none,scripts/download_usda.py,True,False,not_materialized,data/staging/processed/pr_usda.csv,0,,BLOCKED_NOT_WIRED,Producer script exists but is not imported by run_all.py,
doe_grants,federal,False,none,scripts/download_doe.py,True,False,not_materialized,data/staging/processed/pr_doe.csv,0,,BLOCKED_NOT_WIRED,Producer script exists but is not imported by run_all.py,
doj_grants,federal,False,none,scripts/download_doj_grants.py,True,True,not_materialized,data/staging/processed/pr_doj_grants.csv,0,,READY_NOT_MATERIALIZED,Producer wired and unblocked; never executed in this clone,
ed_grants,federal,False,none,scripts/download_ed.py,True,True,not_materialized,data/staging/processed/pr_ed_grants.csv,0,,READY_NOT_MATERIALIZED,Producer wired and unblocked; never executed in this clone,
hhs_grants,federal,False,none,scripts/download_hhs.py,True,True,not_materialized,data/staging/processed/pr_hhs_grants.csv,0,,READY_NOT_MATERIALIZED,Producer wired and unblocked; never executed in this clone,
oia_grants,federal,False,none,scripts/download_oia.py,True,True,not_materialized,data/staging/processed/pr_oia_grants.csv,0,,READY_NOT_MATERIALIZED,Producer wired and unblocked; never executed in this clone,
haf,federal,False,none,scripts/download_haf.py,True,True,not_materialized,data/staging/processed/pr_haf.csv,0,,READY_NOT_MATERIALIZED,Producer wired and unblocked; never executed in this clone,
exim_bank,federal,False,none,scripts/download_exim.py,True,True,not_materialized,data/staging/processed/pr_exim.csv,0,,READY_NOT_MATERIALIZED,Producer wired and unblocked; never executed in this clone,
congressional_earmarks,federal,False,none,scripts/download_earmarks.py,True,True,partially_materialized,data/staging/processed/pr_earmarks.csv,0,,DECLARED_PARTIAL_NO_OUTPUT_ON_DISK,Registry claims partial but no output files present in clone,
ofac_sdn,entity_resolution,False,none,scripts/download_ofac.py,True,True,not_materialized,data/staging/processed/ofac_sdn.csv,0,,READY_NOT_MATERIALIZED,Producer wired and unblocked; never executed in this clone,
opencorporates,entity_resolution,False,api_key:OPENCORPORATES_API_TOKEN,scripts/download_opencorporates.py,True,True,not_materialized,data/staging/processed/pr_opencorporates.csv,0,,BLOCKED_NEEDS_API_KEY,Requires OPENCORPORATES_API_TOKEN,
pr_corporate_registry,manual_export,False,manual_export,scripts/ingest_active_contractors.py,True,True,not_materialized,data/staging/processed/pr_corporate_registry.csv,0,,BLOCKED_MANUAL_EXPORT,Producer requires operator-supplied export drop,
medicaid_fmap,federal,False,none,scripts/download_medicaid_fmap.py,True,True,not_materialized,data/staging/processed/pr_medicaid_fmap.csv,0,,READY_NOT_MATERIALIZED,Producer wired and unblocked; never executed in this clone,
ssa,federal,False,none,scripts/download_ssa.py,True,True,not_materialized,data/staging/processed/pr_ssa.csv,0,,READY_NOT_MATERIALIZED,Producer wired and unblocked; never executed in this clone,
medicare_parts,federal,False,none,scripts/download_medicare_parts.py,True,True,not_materialized,data/staging/processed/pr_medicare_parts.csv,0,,READY_NOT_MATERIALIZED,Producer wired and unblocked; never executed in this clone,
medicare_advantage,federal,False,none,scripts/download_medicare_advantage.py,True,True,not_materialized,data/staging/processed/pr_medicare_advantage.csv,0,,READY_NOT_MATERIALIZED,Producer wired and unblocked; never executed in this clone,
chip,federal,False,none,scripts/download_chip.py,True,True,not_materialized,data/staging/processed/pr_chip.csv,0,,READY_NOT_MATERIALIZED,Producer wired and unblocked; never executed in this clone,
cms_open_payments,federal,False,none,scripts/download_cms.py,True,True,not_materialized,data/staging/processed/pr_cms_open_payments.csv,0,,READY_NOT_MATERIALIZED,Producer wired and unblocked; never executed in this clone,
wic,federal,False,none,scripts/download_wic.py,True,True,not_materialized,data/staging/processed/pr_wic.csv,0,,READY_NOT_MATERIALIZED,Producer wired and unblocked; never executed in this clone,
wioa,federal,False,none,scripts/download_wioa.py,True,True,not_materialized,data/staging/processed/pr_wioa.csv,0,,READY_NOT_MATERIALIZED,Producer wired and unblocked; never executed in this clone,
snap_nap,federal,False,none,scripts/download_snap_nap.py,True,True,not_materialized,data/staging/processed/pr_snap_nap.csv,0,,READY_NOT_MATERIALIZED,Producer wired and unblocked; never executed in this clone,
va_benefits,federal,False,none,scripts/download_va.py,True,True,not_materialized,data/staging/processed/pr_va.csv,0,,READY_NOT_MATERIALIZED,Producer wired and unblocked; never executed in this clone,
fdic,federal,False,none,scripts/download_fdic.py,True,True,not_materialized,data/staging/processed/pr_fdic.csv,0,,READY_NOT_MATERIALIZED,Producer wired and unblocked; never executed in this clone,
ncua,federal,False,none,scripts/download_ncua.py,True,True,not_materialized,data/staging/processed/pr_ncua.csv,0,,READY_NOT_MATERIALIZED,Producer wired and unblocked; never executed in this clone,
fhlb,federal,False,none,scripts/download_fhlb.py,True,True,not_materialized,data/staging/processed/pr_fhlb.csv,0,,READY_NOT_MATERIALIZED,Producer wired and unblocked; never executed in this clone,
sec_edgar,federal,False,none,scripts/download_sec.py,True,True,not_materialized,data/staging/processed/pr_sec_edgar.csv,0,,READY_NOT_MATERIALIZED,Producer wired and unblocked; never executed in this clone,
sec_13f_nport,federal,False,none,scripts/download_sec_holdings.py,True,True,not_materialized,data/staging/processed/pr_sec_holdings.csv,0,,READY_NOT_MATERIALIZED,Producer wired and unblocked; never executed in this clone,
fcc_usf,federal,False,none,scripts/download_fcc.py,True,True,not_materialized,data/staging/processed/pr_fcc_usf.csv,0,,READY_NOT_MATERIALIZED,Producer wired and unblocked; never executed in this clone,
nfip_claims,federal,False,none,scripts/download_nfip.py,True,True,not_materialized,data/staging/processed/pr_nfip_claims.csv,0,,READY_NOT_MATERIALIZED,Producer wired and unblocked; never executed in this clone,
lihtc,federal,False,none,scripts/download_lihtc.py,True,True,not_materialized,data/staging/processed/pr_lihtc.csv,0,,READY_NOT_MATERIALIZED,Producer wired and unblocked; never executed in this clone,
nmtc,federal,False,none,scripts/download_nmtc.py,True,True,not_materialized,data/staging/processed/pr_nmtc.csv,0,,READY_NOT_MATERIALIZED,Producer wired and unblocked; never executed in this clone,
nonprofits_irs990,federal,False,none,scripts/download_nonprofits.py,True,True,not_materialized,data/staging/processed/pr_nonprofits_990.csv,0,,READY_NOT_MATERIALIZED,Producer wired and unblocked; never executed in this clone,
gao_ig_audits,federal,False,none,scripts/download_gao_ig.py,True,True,not_materialized,data/staging/processed/pr_gao_ig_audits.csv,0,,READY_NOT_MATERIALIZED,Producer wired and unblocked; never executed in this clone,
dol_whd_osha,federal,False,none,scripts/download_dol.py,True,True,not_materialized,data/staging/processed/pr_dol_whd.csv,0,,READY_NOT_MATERIALIZED,Producer wired and unblocked; never executed in this clone,
sf133_budget_execution,federal,False,none,scripts/download_sf133.py,True,True,not_materialized,data/staging/processed/pr_sf133.csv,0,,READY_NOT_MATERIALIZED,Producer wired and unblocked; never executed in this clone,
research_grants,federal,False,none,scripts/download_research.py,True,True,not_materialized,data/staging/processed/pr_research_grants.csv,0,,READY_NOT_MATERIALIZED,Producer wired and unblocked; never executed in this clone,
grants_gov,federal,False,none,scripts/download_grants.py,True,True,not_materialized,data/staging/processed/pr_grants.csv,0,,READY_NOT_MATERIALIZED,Producer wired and unblocked; never executed in this clone,
