source_id,family,required,authentication,expected_output_count,present_count,local_rows,local_status,materiality_tier,first_expected_output
sec_officers,entity_resolution,False,none,1,1,85,fully_materialized,moderate,data/staging/processed/pr_sec_officers.csv
snap_nap,federal,False,none,1,1,61,fully_materialized,moderate,data/staging/processed/pr_snap_nap.csv
sec_13f_nport,federal,False,none,1,1,54,fully_materialized,moderate,data/staging/processed/pr_sec_holdings.csv
sam_entities,entity_resolution,True,api_key:SAM_API_KEY,2,1,50,partially_materialized,moderate,data/staging/processed/enrichment/vendor_uei_index.csv
emma_bonds,bonds,True,none,2,2,35,fully_materialized,seed_stub,data/staging/processed/pr_emma_bonds.csv
fema_hmgp,federal,False,none,1,1,25,fully_materialized,seed_stub,data/staging/processed/pr_fema_hmgp_master.csv
promesa_creditors,territorial,False,none,1,1,16,fully_materialized,seed_stub,data/staging/processed/pr_promesa_creditors.csv
hacienda,territorial,False,none,1,1,8,fully_materialized,seed_stub,data/staging/processed/pr_hacienda_revenues.csv
prepa_luma_genera,infrastructure,False,none,1,1,8,fully_materialized,seed_stub,data/staging/processed/pr_prepa_contracts.csv
rum_cover_over,territorial,False,none,1,1,7,fully_materialized,seed_stub,data/staging/processed/pr_rum_coverover.csv
ssa,federal,False,none,1,1,6,fully_materialized,seed_stub,data/staging/processed/pr_ssa_benefits.csv
va_benefits,federal,False,none,1,1,6,fully_materialized,seed_stub,data/staging/processed/pr_va_benefits.csv
cofina,territorial,False,none,1,1,5,fully_materialized,seed_stub,data/staging/processed/pr_cofina.csv
gao_ig_audits,federal,False,none,1,1,5,fully_materialized,seed_stub,data/staging/processed/pr_gao_ig_reports.csv
medicare_advantage,federal,False,none,1,1,5,fully_materialized,seed_stub,data/staging/processed/pr_medicare_advantage.csv
municipal_finance,municipal,False,api_key:FAC_API_KEY,1,1,5,fully_materialized,seed_stub,data/staging/processed/pr_municipal_finance.csv
p3_authority,territorial,False,none,1,1,5,fully_materialized,seed_stub,data/staging/processed/pr_p3_contracts.csv
pr_act_60_decrees,territorial,False,none,1,1,5,fully_materialized,seed_stub,data/staging/processed/pr_act60_decrees.csv
aafaf,territorial,False,none,1,1,4,fully_materialized,seed_stub,data/staging/processed/pr_aafaf_budget.csv
chip,federal,False,none,1,1,4,fully_materialized,seed_stub,data/staging/processed/pr_chip.csv
fcc_usf,federal,False,none,1,1,4,fully_materialized,seed_stub,data/staging/processed/pr_fcc_usf.csv
medicare_parts,federal,False,none,1,1,4,fully_materialized,seed_stub,data/staging/processed/pr_medicare_parts.csv
ncua,federal,False,none,1,1,4,fully_materialized,seed_stub,data/staging/processed/pr_ncua_credit_unions.csv
pr_pensions,territorial,False,none,1,1,4,fully_materialized,seed_stub,data/staging/processed/pr_pension_funds.csv
wic,federal,False,none,1,1,4,fully_materialized,seed_stub,data/staging/processed/pr_wic.csv
dol_whd_osha,federal,False,none,1,1,3,fully_materialized,seed_stub,data/staging/processed/pr_dol_enforcement.csv
fhlb,federal,False,none,1,1,3,fully_materialized,seed_stub,data/staging/processed/pr_fhlb_advances.csv
nonprofits_irs990,federal,False,none,1,1,3,fully_materialized,seed_stub,data/staging/processed/pr_nonprofits.csv
usace_civil_works,federal,False,none,1,1,3,fully_materialized,seed_stub,data/staging/processed/pr_usace_civil_master.csv
hud_hcv_section8,federal,False,none,1,1,2,fully_materialized,seed_stub,data/staging/processed/pr_hud_hcv.csv
sba_loans,federal,False,none,1,1,2,fully_materialized,seed_stub,data/staging/processed/pr_sba_loans_master.csv
act_toll_revenue,infrastructure_revenue,False,manual_export,1,0,0,not_materialized,empty,data/staging/processed/pr_act_toll_revenue.csv
act_tolls_concession,infrastructure,False,manual_export,1,0,0,not_materialized,empty,data/staging/processed/pr_act_tolls.csv
act_transition_contracts,manual_export,False,manual_export,1,0,0,not_materialized,empty,data/staging/processed/pr_act_transition_contracts.csv
acuden_2024_transition,manual_export,False,manual_export,1,0,0,not_materialized,empty,data/staging/processed/pr_acuden_transition.csv
ases_plan_vital,territorial,False,manual_export,1,0,0,not_materialized,empty,data/staging/processed/pr_ases_contracts.csv
bde_loans,territorial,False,manual_export,1,0,0,not_materialized,empty,data/staging/processed/pr_bde_loans.csv
census_gov_finances,territorial,False,api_key:CENSUS_API_KEY,1,0,0,not_materialized,empty,data/staging/processed/pr_census_gov_finances.csv
cms_open_payments,federal,False,none,1,0,0,not_materialized,empty,data/staging/processed/pr_cms_open_payments.csv
compras_pr,territorial,False,none,2,0,0,partially_materialized,empty,data/staging/processed/pr_compras_rfps.csv
congressional_earmarks,federal,False,none,1,0,0,partially_materialized,empty,data/staging/processed/pr_earmarks.csv
contralor_electoral,political_finance,False,manual_export,1,0,0,not_materialized,empty,data/staging/processed/pr_oce_donations.csv
cor3,territorial,True,none,1,0,0,partially_materialized,empty,data/staging/processed/pr_cor3_projects.csv
crim_property_tax,municipal,False,manual_export,1,0,0,not_materialized,empty,data/staging/processed/pr_crim_property_tax.csv
dcaa_active_contractors,manual_export,False,manual_export,1,0,0,partially_materialized,empty,data/staging/processed/pr_active_contractors.csv
ddec_incentives,territorial,False,manual_export,1,0,0,not_materialized,empty,data/staging/processed/pr_ddec_incentives.csv
doj_settlements,federal,False,manual_export,1,0,0,not_materialized,empty,data/staging/processed/pr_doj_settlements.csv
donaciones_pr,political_finance,False,manual_export,1,0,0,not_materialized,empty,data/staging/processed/pr_donaciones.csv
dtop_road_contracts,infrastructure,False,manual_export,1,0,0,not_materialized,empty,data/staging/processed/pr_dtop_road_contracts.csv
dtop_vehicle_fees,territorial,False,manual_export,1,0,0,not_materialized,empty,data/staging/processed/pr_dtop_fees.csv
emma_infra_revenue,infrastructure_revenue,False,none,1,0,0,not_materialized,empty,data/staging/processed/pr_emma_revenue_disclosures.csv
eqb_epa_icis,territorial,False,none,1,0,0,not_materialized,empty,data/staging/processed/pr_epa_echo_icis.csv
equitable_sharing,federal,False,manual_export,1,0,0,not_materialized,empty,data/staging/processed/pr_equitable_sharing.csv
estadisticas_pr_external_trade,territorial,False,none,1,0,0,not_materialized,empty,data/staging/processed/pr_external_trade.csv
exim_bank,federal,False,none,1,0,0,not_materialized,empty,data/staging/processed/pr_exim.csv
fec_committees,political_finance,False,api_key:FEC_API_KEY,3,0,0,not_materialized,empty,data/staging/processed/pr_fec_committees.csv
federal_audit_clearinghouse,federal,False,api_key:FAC_API_KEY,1,0,0,not_materialized,empty,data/staging/processed/pr_single_audits.csv
fema_individual_assistance,federal,False,none,1,0,0,not_materialized,empty,data/staging/processed/pr_fema_ia.csv
financialdata_net,optional_commercial_enrichment,False,api_key:FINANCIALDATA_API_KEY,4,0,0,not_materialized,empty,outputs/enrichment/financialdata_identifier_crosswalk.csv
fpds_report_builder,federal,False,none,1,0,0,not_materialized,empty,data/staging/processed/pr_fpds_report_builder.csv
fta_ntd,infrastructure,False,none,1,0,0,not_materialized,empty,data/staging/processed/pr_fta_ntd.csv
gaming_commission,territorial,False,manual_export,1,0,0,not_materialized,empty,data/staging/processed/pr_gaming.csv
hacienda_sut_ivu,territorial,False,none,1,0,0,not_materialized,empty,data/staging/processed/pr_hacienda_sut_ivu.csv
haf,federal,False,none,1,0,0,not_materialized,empty,data/staging/processed/pr_haf.csv
highergov_supplemental,federal,False,api_key:HIGHERGOV_API_KEY,2,1,0,partially_materialized,empty,data/raw/HigherGov/
hud_cdbg_mit,federal,False,none,1,0,0,not_materialized,empty,data/staging/processed/pr_cdbg_mit.csv
hud_drgr_authorized,manual_export,True,manual_export,2,0,0,not_materialized,empty,data/staging/processed/hud_drgr_activities.csv
irs_ctc_eitc_pr,federal,False,manual_export,1,0,0,not_materialized,empty,data/staging/processed/pr_irs_ctc_eitc.csv
lihtc,federal,False,none,1,0,0,not_materialized,empty,data/staging/processed/pr_lihtc.csv
loteria_pr,territorial,False,manual_export,1,0,0,not_materialized,empty,data/staging/processed/pr_loteria.csv
msrb_rtrs_trades,bonds,False,none,1,0,0,partially_materialized,empty,data/staging/processed/pr_msrb_trades.csv
nara_catalog_aws_open_data,provenance_archival,False,none,2,0,0,not_materialized,empty,data/staging/processed/nara_nextgen/nara_bulk_catalog_index.csv
nara_nextgen_catalog_v3,provenance_archival,False,api_key:NARA_API_KEY,2,0,0,not_materialized,empty,data/staging/processed/nara_nextgen/nara_record_locator_index.csv
nfip_claims,federal,False,none,1,0,0,partially_materialized,empty,data/staging/processed/pr_nfip_claims.csv
ngo_integration_layer,nonprofit,False,none,3,0,0,not_materialized,empty,data/staging/processed/ngos/ngos_master.csv
nmtc,federal,False,none,1,0,0,not_materialized,empty,data/staging/processed/pr_nmtc.csv
oatrh_payroll,territorial,False,manual_export,1,0,0,not_materialized,empty,data/staging/processed/pr_govt_payroll.csv
ocpr_contracts,territorial,False,manual_export,1,0,0,not_materialized,empty,data/staging/processed/pr_ocpr_contracts.csv
oficina_contralor,territorial,True,manual_export,1,0,0,partially_materialized,empty,data/staging/processed/pr_contralor_audits.csv
ogpe_permits,municipal,False,manual_export,1,0,0,not_materialized,empty,data/staging/processed/pr_ogpe_permits.csv
opm_fedscope,federal,False,none,1,0,0,not_materialized,empty,data/staging/processed/pr_federal_payroll.csv
opportunity_zones,federal,False,none,1,0,0,not_materialized,empty,data/staging/processed/pr_opportunity_zones.csv
ports_airports_contracts,infrastructure,False,manual_export,1,0,0,not_materialized,empty,data/staging/processed/pr_ports_airports_contracts.csv
ports_airports_revenue,infrastructure_revenue,False,manual_export,1,0,0,not_materialized,empty,data/staging/processed/pr_ports_airports_revenue.csv
ports_authority,infrastructure,False,manual_export,1,0,0,not_materialized,empty,data/staging/processed/pr_ports_concessions.csv
pr_act_154_excise,territorial,False,none,1,0,0,not_materialized,empty,data/staging/processed/pr_act_154_excise.csv
pr_cabilderos,lobbying,True,manual_export,1,0,0,partially_materialized,empty,data/staging/processed/pr_cabilderos.csv
pr_corporate_registry,manual_export,False,manual_export,1,0,0,partially_materialized,empty,data/staging/processed/pr_corporate_registry.csv
pr_general_fund_revenues,territorial,False,none,1,0,0,not_materialized,empty,data/staging/processed/pr_general_fund_revenues.csv
pr_income_tax_collections,territorial,False,none,1,0,0,not_materialized,empty,data/staging/processed/pr_income_tax_collections.csv
prasa,infrastructure,True,manual_export,1,0,0,partially_materialized,empty,data/staging/processed/pr_prasa_contracts.csv
prasa_cer,infrastructure,False,manual_export,1,0,0,not_materialized,empty,data/staging/processed/pr_prasa_cer.csv
prasa_cip,infrastructure,False,manual_export,1,0,0,not_materialized,empty,data/staging/processed/pr_prasa_cip.csv
prasa_completed_projects,infrastructure,False,manual_export,1,0,0,not_materialized,empty,data/staging/processed/pr_prasa_completed_projects.csv
prasa_contracts_master,infrastructure,False,none,1,0,0,not_materialized,empty,data/staging/processed/prasa_contracts_master.csv
prasa_rate_revenue,infrastructure_revenue,False,manual_export,1,0,0,not_materialized,empty,data/staging/processed/pr_prasa_rate_revenue.csv
prepa_luma_rate_revenue,infrastructure_revenue,False,manual_export,1,0,0,not_materialized,empty,data/staging/processed/pr_prepa_rate_revenue.csv
prpha_housing_subsidy,territorial,False,manual_export,1,0,0,not_materialized,empty,data/staging/processed/pr_prpha_subsidies.csv
sam_exclusions,entity_resolution,False,api_key:SAM_API_KEY,1,0,0,not_materialized,empty,data/staging/processed/sam_exclusions.csv
sba_ppp,federal,False,none,1,0,0,not_materialized,empty,data/staging/processed/pr_sba_ppp.csv
sbir,federal,False,none,1,0,0,not_materialized,empty,data/staging/processed/pr_sbir.csv
sf133_budget_execution,federal,False,none,1,0,0,not_materialized,empty,data/staging/processed/pr_sf133.csv
tourism_room_tax,territorial,False,manual_export,1,0,0,not_materialized,empty,data/staging/processed/pr_tourism_roomtax.csv
transit_contracts,infrastructure,False,manual_export,1,0,0,not_materialized,empty,data/staging/processed/pr_transit_contracts.csv
transit_fare_revenue,infrastructure_revenue,False,manual_export,1,0,0,not_materialized,empty,data/staging/processed/pr_transit_fare_revenue.csv
usace_permits,federal,False,none,1,0,0,partially_materialized,empty,data/staging/processed/pr_usace_permits.csv
usaspending_loans,federal,False,none,1,0,0,not_materialized,empty,data/staging/processed/pr_federal_loans.csv
usda_farm_subsidies,federal,False,none,1,0,0,not_materialized,empty,data/staging/processed/pr_usda_farm_subsidies.csv
