source_id,family,required,authentication,expected_output_count,present_count,missing_count,empty_count,source_status,total_rows_present,min_rows_threshold,first_expected_output,blocker_notes,materiality_label,coverage_status,certification_status
fema_pa_openfema_v2,federal,True,none,1,1,0,0,fully_materialized,2000,1,data/staging/processed/pr_fema_pa_master.csv,Preferred FEMA PA route. OpenFEMA v2 PA projects API.,substantial,unverifiable,provisional
fsrs_subawards,federal,True,none,1,1,0,0,fully_materialized,5989,1,data/staging/processed/pr_fsrs_subawards.csv,FSRS prime-to-sub reporting. Joins with USAspending subaward stream.,substantial,unverifiable,provisional
hud_cdbg_dr_public,federal,True,none,1,1,0,0,fully_materialized,3808,1,data/staging/processed/pr_cdbg_dr_master.csv,,substantial,unverifiable,provisional
lda,lobbying,True,none,14,14,0,0,fully_materialized,21112,1,data/staging/processed/lda_registrants.csv,"API-authoritative federal LDA lobbying source via LDA.gov.
Canonical API provider alias: lda_gov.
Default mode is dry-run fixture mode; live API calls require --live.
No API key is required. Uploaded/",substantial,unverifiable,provisional
sam_entities,entity_resolution,True,none,2,2,0,0,fully_materialized,2378,1,data/staging/processed/enrichment/vendor_uei_index.csv,"Offline-first UEI resolution from source exports, SAM monthly extracts,
prior indexes, and local aliases. A bounded live SAM residual pass is opt-in
and uses SAM_API_KEY with quota/transport circuit b",substantial,unverifiable,provisional
usaspending_subawards,federal,True,none,2,2,0,0,fully_materialized,11978,1,data/staging/processed/pr_subawards_master.csv,,substantial,unverifiable,provisional
aafaf,territorial,False,none,1,0,1,0,not_materialized,0,1,data/staging/processed/pr_aafaf_budget.csv,PR Fiscal Agency & Financial Advisory Authority. Budget execution.,empty,uncontracted,uncertified
act_toll_revenue,infrastructure_revenue,False,manual_export,1,0,1,0,not_materialized,0,1,data/staging/processed/pr_act_toll_revenue.csv,Aggregate toll revenue (ACT / AutoExpreso / Metropistas PR-22/PR-5) from ACT audited financials and EMMA toll-revenue-bond disclosures. Dropzone reader; pursue finer (per-plaza) breakdowns via FOIA.,empty,uncontracted,uncertified
act_tolls_concession,infrastructure,False,manual_export,1,0,1,0,not_materialized,0,1,data/staging/processed/pr_act_tolls.csv,"PR Highways & Transportation Authority toll revenue and Metropistas/Autopistas concession payments. Distinct from ACT transition contracts. Operator-delivered exports.
",empty,uncontracted,uncertified
ases_plan_vital,territorial,False,manual_export,1,0,1,0,not_materialized,0,1,data/staging/processed/pr_ases_contracts.csv,"ASES Plan Vital Medicaid managed-care contracts and MCO capitation (territorial program spend). Distinct from federal medicaid_fmap match. Operator-delivered exports.
",empty,uncontracted,uncertified
asg_emergency_purchases,territorial,False,none,1,0,1,0,not_materialized,0,1,data/staging/processed/pr_asg_emergency_purchases.csv,"ASG emergency (no-bid) purchase orders — agency, vendor, purchase-order number and cost, ~1,400 rows over 141 pages. The only page on the ASG site that carries dollar amounts in its markup. Spans thre",empty,below_contract,uncertified
asg_suppliers,entity_resolution,False,none,1,0,1,0,not_materialized,0,1,data/staging/processed/pr_asg_suppliers.csv,"ASG registered-bidder registry (RUL — Registro Único de Licitadores, and RUP — Registro Único de Proveedores), ~4,700 vendors over 47 pages. Each vendor carries a Licitador ID, a stable government-iss",empty,below_contract,uncertified
bde_loans,territorial,False,manual_export,1,0,1,0,not_materialized,0,1,data/staging/processed/pr_bde_loans.csv,"Banco de Desarrollo Economico (Economic Development Bank) territorial business loans. Distinct from federal SBA loans. Operator-delivered exports.
",empty,uncontracted,uncertified
census_gov_finances,territorial,False,api_key:CENSUS_API_KEY,1,0,1,0,not_materialized,0,0,data/staging/processed/pr_census_gov_finances.csv,Census government-finance / tax-collection figures for PR (FIPS 72) via the Census Data API. Automatable (needs CENSUS_API_KEY); materialized by scripts/download_census_gov_finances.py. Caveat - Censu,empty,uncontracted,uncertified
centinelas_pre_official_signals,pre_officialization,False,none,2,0,2,0,not_materialized,0,0,exports/centinelas_intake/funding_awards.jsonl,Centinelas (centinelas-pr) drops FINANCIAL/POLITICAL pre-officialization signals into intake/. ingest_centinelas_signals.py geo-attributes them into pre-official located-finance candidate rows (signal,empty,uncontracted,uncertified
chip,federal,False,none,1,0,1,0,not_materialized,0,1,data/staging/processed/pr_chip.csv,,empty,uncontracted,uncertified
cms_open_payments,federal,False,none,1,0,1,0,not_materialized,0,1,data/staging/processed/pr_cms_open_payments.csv,,empty,uncontracted,uncertified
cofina,territorial,False,none,1,0,1,0,not_materialized,0,1,data/staging/processed/pr_cofina.csv,,empty,uncontracted,uncertified
compras_pr,territorial,False,none,2,0,2,0,not_materialized,0,1,data/staging/processed/pr_compras_rfps.csv,comprashpr.com RFP / award scrape.,empty,unverifiable,uncertified
congressional_earmarks,federal,False,none,1,0,1,0,not_materialized,0,1,data/staging/processed/pr_earmarks.csv,,empty,uncontracted,uncertified
contralor_electoral,political_finance,False,manual_export,1,0,1,0,not_materialized,0,1,data/staging/processed/pr_oce_donations.csv,"PR Oficina del Contralor Electoral (OCE) campaign-finance registry. Distinct from `oficina_contralor` (government-audit Contralor, a different agency). ingest_oce.py is a dropzone reader (no network c",empty,uncontracted,uncertified
crim_property_tax,municipal,False,manual_export,1,0,1,0,not_materialized,0,1,data/staging/processed/pr_crim_property_tax.csv,"CRIM municipal property-tax assessments and collections. Operator-delivered exports.
",empty,uncontracted,uncertified
dcaa_active_contractors,manual_export,False,manual_export,1,0,1,0,not_materialized,0,1,data/staging/processed/pr_active_contractors.csv,DCAA FY2007/FY2012/FY2013 active contractor listings. Alias/crosswalk source.,empty,uncontracted,uncertified
ddec_incentives,territorial,False,manual_export,1,0,1,0,not_materialized,0,1,data/staging/processed/pr_ddec_incentives.csv,"DDEC Act 60/20/22 tax-incentive decrees (export-services / individual-investor grants). Operator-delivered exports.
",empty,uncontracted,uncertified
doe_grants,federal,False,none,1,0,1,0,not_materialized,0,1,data/staging/processed/pr_doe_master.csv,,empty,uncontracted,uncertified
doj_grants,federal,False,none,1,0,1,0,not_materialized,0,1,data/staging/processed/pr_doj_grants_master.csv,,empty,uncontracted,uncertified
doj_settlements,federal,False,manual_export,1,0,1,0,not_materialized,0,1,data/staging/processed/pr_doj_settlements.csv,"DOJ / USAO-PR civil settlements and False Claims Act recoveries involving PR entities. Operator-delivered exports (no machine API).
",empty,uncontracted,uncertified
dol_whd_osha,federal,False,none,1,0,1,0,not_materialized,0,1,data/staging/processed/pr_dol_enforcement.csv,,empty,uncontracted,uncertified
donaciones_pr,political_finance,False,manual_export,1,0,1,0,not_materialized,0,1,data/staging/processed/pr_donaciones.csv,PR State Election Commission (CEE/CEEPUR) state-level donation registry. ingest_donaciones.py is a dropzone reader for operator-delivered CEE CSV exports — no network code. Previously mislabeled as us,empty,below_contract,uncertified
dot_grants,federal,False,none,1,0,1,0,not_materialized,0,1,data/staging/processed/pr_dot_master.csv,,empty,uncontracted,uncertified
dtop_centerline_lrs,infrastructure,False,manual_export,1,0,1,0,not_materialized,0,1,data/staging/processed/pr_roadwatch_segments.csv,"DTOP/ACT roadway centerline linear-referencing system (LRS) with km
stationing. Source of the RoadWatch segment network geometry and the
route-km measures used to place projects. Operator-dropped expo",empty,uncontracted,uncertified
dtop_road_contracts,infrastructure,False,manual_export,1,0,1,0,not_materialized,0,1,data/staging/processed/pr_dtop_road_contracts.csv,"DTOP/ACT permanent road construction & maintenance contracts (rolling, beyond the 2020 transition snapshot). OCPR registry agency code 032.",empty,uncontracted,uncertified
dtop_vehicle_fees,territorial,False,manual_export,1,0,1,0,not_materialized,0,1,data/staging/processed/pr_dtop_fees.csv,"DTOP vehicle-registration (marbete) and license fee collections. Operator-delivered exports.
",empty,uncontracted,uncertified
ed_grants,federal,False,none,1,0,1,0,not_materialized,0,1,data/staging/processed/pr_ed_master.csv,,empty,uncontracted,uncertified
eia_power_sector,federal,False,api_key:EIA_API_KEY,1,0,1,0,not_materialized,0,1,data/staging/processed/pr_eia_power_sector.csv,"EIA Open Data v2 power-sector time-series (net generation, capacity,
consumption) for Puerto Rico, per registries/eia_series.yaml. Requires a
free EIA_API_KEY (https://www.eia.gov/opendata/register.ph",empty,uncontracted,uncertified
emma_infra_revenue,infrastructure_revenue,False,none,1,0,1,0,not_materialized,0,1,data/staging/processed/pr_emma_revenue_disclosures.csv,MSRB EMMA continuing-disclosure revenue extraction (toll/water/power bond-pledged revenue). The one authentication-free automatable revenue spine; cross-checks the manual dropzone figures. PDF extract,empty,uncontracted,uncertified
epa_grants,federal,False,none,1,0,1,0,not_materialized,0,1,data/staging/processed/pr_epa_master.csv,,empty,uncontracted,uncertified
eqb_epa_icis,territorial,False,none,1,0,1,0,not_materialized,0,0,data/staging/processed/pr_epa_echo_icis.csv,"PR environmental enforcement (EPA ICIS-FE&C / ECHO) — federal penalties assessed against PR facilities. Automatable via the public, keyless ECHO Enforcement Case Search REST API (echodata.epa.gov; X_A",empty,uncontracted,uncertified
equitable_sharing,federal,False,manual_export,1,0,1,0,not_materialized,0,1,data/staging/processed/pr_equitable_sharing.csv,"DOJ/Treasury equitable-sharing asset-forfeiture payouts to PR law enforcement. Operator-delivered exports.
",empty,uncontracted,uncertified
estadisticas_pr_external_trade,territorial,False,none,1,0,1,0,not_materialized,0,0,data/staging/processed/pr_external_trade.csv,PR external-trade series (imports / exports) from the Instituto de Estadisticas / Datos.PR CKAN portal. Automatable via the CKAN API (datos.estadisticas.pr); materialized by scripts/download_estadisti,empty,uncontracted,uncertified
exim_bank,federal,False,none,1,0,1,0,not_materialized,0,1,data/staging/processed/pr_exim.csv,,empty,uncontracted,uncertified
fcc_usf,federal,False,none,1,0,1,0,not_materialized,0,1,data/staging/processed/pr_fcc_usf.csv,,empty,uncontracted,uncertified
fdic,federal,False,none,2,0,2,0,not_materialized,0,1,data/staging/processed/pr_fdic_financials.csv,,empty,uncontracted,uncertified
fec_committees,political_finance,False,api_key:FEC_API_KEY,3,0,3,0,not_materialized,0,1,data/staging/processed/pr_fec_committees.csv,"FEC committee master plus Schedule B (disbursements) and Schedule E (independent expenditures) for PR-linked political committees. Makes PACs, Super PACs, 527s, and party committees first-class entiti",empty,uncontracted,uncertified
federal_audit_clearinghouse,federal,False,api_key:FAC_API_KEY,1,0,1,0,not_materialized,0,1,data/staging/processed/pr_single_audits.csv,"Federal Single Audit (SF-SAC) results for PR auditees from the Federal Audit Clearinghouse. Oversight on subrecipients of federal awards. Free api.data.gov key (FAC_API_KEY).
",empty,uncontracted,uncertified
fema_hmgp,federal,False,none,1,0,1,0,not_materialized,0,1,data/staging/processed/pr_fema_hmgp_master.csv,,empty,unverifiable,uncertified
fema_individual_assistance,federal,False,none,1,0,1,0,not_materialized,0,1,data/staging/processed/pr_fema_ia.csv,"FEMA Individual Assistance / Individuals & Households Program housing aid to PR (OpenFEMA HousingAssistanceOwners). Direct-to-household disaster flow, distinct from Public Assistance and HMGP.
",empty,uncontracted,uncertified
fhlb,federal,False,none,1,0,1,0,not_materialized,0,1,data/staging/processed/pr_fhlb_advances.csv,,empty,uncontracted,uncertified
fhwa_hpms_routes,infrastructure,False,none,1,0,1,0,not_materialized,0,1,data/staging/processed/pr_hpms_routes.csv,"FHWA Highway Performance Monitoring System (HPMS) route geometry for
Puerto Rico, served via ArcGIS REST. Cross-check route_id and stationing
against the DTOP centerline LRS; secondary geometry author",empty,uncontracted,uncertified
fhwa_nbi_bridges,infrastructure,False,none,1,0,1,0,not_materialized,0,1,data/staging/processed/pr_nbi_bridges.csv,"FHWA National Bridge Inventory (NBI) ASCII/CSV for Puerto Rico. Provides
point structures with route + km; used to anchor bridge-scoped projects to
the nearest RoadWatch segment (join_method nbi_struc",empty,uncontracted,uncertified
financialdata_net,optional_commercial_enrichment,False,api_key:FINANCIALDATA_API_KEY,4,0,4,0,not_materialized,0,0,outputs/enrichment/financialdata_identifier_crosswalk.csv,OPTIONAL commercial provider for public-market entity resolution (CUSIP / ISIN / FIGI / LEI / CIK / ticker crosswalks). NOT a required source — never wired into coverage gates. Live use requires BOTH ,empty,uncontracted,uncertified
follow_the_money,political_finance,False,manual_export,3,0,3,0,not_materialized,0,1,data/staging/processed/pr_sf133_budget_execution.csv,"PR public-money export data (SF-133 budget execution, municipal political/federal bridge, facility contract matches). ingest_follow_the_money.py is a dropzone reader (no network code) producing 3 outp",empty,uncontracted,uncertified
fpds_report_builder,federal,False,none,1,0,1,0,not_materialized,0,1,data/staging/processed/pr_fpds_report_builder.csv,FPDS Report Builder FY2018-2024 ingestion. Supplements USAspending.,empty,uncontracted,uncertified
fred_timeseries,federal,False,api_key:FRED_API_KEY,1,0,1,0,not_materialized,0,1,data/staging/processed/pr_fred_timeseries.csv,"FRED (St. Louis Fed) economic time-series for Puerto Rico indicators
(employment, prices, income, etc.), per registries/fred_series.yaml.
Requires a free FRED_API_KEY
(https://fred.stlouisfed.org/docs",empty,uncontracted,uncertified
fta_ntd,infrastructure,False,none,1,0,1,0,not_materialized,0,0,data/staging/processed/pr_fta_ntd.csv,"FTA National Transit Database — financial, funding-source, and operating-expense data for PR transit agencies (PRHTA, PRITA, Ports Authority). Automatable via the Socrata SODA API on data.transportati",empty,uncontracted,uncertified
gaming_commission,territorial,False,manual_export,1,0,1,0,not_materialized,0,1,data/staging/processed/pr_gaming.csv,"PR Gaming Commission casino/slot-machine licensing and gaming-tax revenue. Operator-delivered exports.
",empty,uncontracted,uncertified
gao_ig_audits,federal,False,none,1,0,1,0,not_materialized,0,1,data/staging/processed/pr_gao_ig_reports.csv,,empty,uncontracted,uncertified
gleif_lei,entity_resolution,False,none,2,0,2,0,not_materialized,0,1,data/staging/processed/pr_gleif_entities.csv,"Free, keyless GLEIF LEI database filtered to Puerto Rico (legalAddress
country PR + jurisdiction US-PR, de-duped by LEI). Corporate identity
(legal name, status, legal form, local registration number,",empty,uncontracted,uncertified
grants_gov,federal,False,none,1,0,1,0,not_materialized,0,1,data/staging/processed/pr_grants_master.csv,,empty,uncontracted,uncertified
hacienda,territorial,False,none,1,0,1,0,not_materialized,0,1,data/staging/processed/pr_hacienda_revenues.csv,,empty,uncontracted,uncertified
hacienda_sut_ivu,territorial,False,none,1,0,1,0,not_materialized,0,0,data/staging/processed/pr_hacienda_sut_ivu.csv,"PR Treasury Sales & Use Tax (IVU/SUT) collections by fiscal year / month / NAICS, plus COFIM municipal IVU — the largest PR consumption-tax revenue stream, not otherwise captured. Scraper surface (hac",empty,uncontracted,uncertified
haf,federal,False,none,1,0,1,0,not_materialized,0,1,data/staging/processed/pr_haf.csv,,empty,uncontracted,uncertified
hhs_grants,federal,False,none,1,0,1,0,not_materialized,0,1,data/staging/processed/pr_hhs_master.csv,,empty,uncontracted,uncertified
hud_cdbg_mit,federal,False,none,1,0,1,0,not_materialized,0,1,data/staging/processed/pr_cdbg_mit.csv,"HUD CDBG-Mitigation (CFDA 14.272) allocations to PR via USASpending. Distinct from CDBG-DR (hud_cdbg_dr_public) and DRGR reporting (hud_drgr_authorized).
",empty,uncontracted,uncertified
hud_hcv_section8,federal,False,none,1,0,1,0,not_materialized,0,1,data/staging/processed/pr_hud_hcv.csv,,empty,uncontracted,uncertified
irs_ctc_eitc_pr,federal,False,manual_export,1,0,1,0,not_materialized,0,1,data/staging/processed/pr_irs_ctc_eitc.csv,"IRS Child Tax Credit / EITC payments to PR families (post-ARPA expansion), from SOI/Treasury exports. Operator-delivered.
",empty,uncontracted,uncertified
legislapr_discovery,territorial_legislation,False,none,1,0,1,0,not_materialized,0,1,data/staging/processed/pr_legislapr_measures_probe.json,LegislaPR is a public legislative discovery and enrichment surface for Puerto Rico measures. Treat extracted summaries/pros/cons as non-authoritative. Promote only when the measure is cross-confirmed ,empty,uncontracted,uncertified
legislapr_sessions,territorial_legislation,False,none,1,0,1,0,not_materialized,0,1,data/staging/processed/pr_legislapr_sessions.json,Deterministic session index extracted from LegislaPR discovery output and OpenStates URLs. No external service calls.,empty,uncontracted,uncertified
legislative_canonical_sources,territorial_legislation,False,api_key:OPENSTATES_API_KEY,1,0,1,0,not_materialized,0,1,data/staging/processed/pr_legislative_measures_canonical.json,Canonical confirmation layer for LegislaPR discovery candidates. Uses OpenStates API v3 and official Assembly/SUTRA document links; requires OPENSTATES_API_KEY unless running in explicit SUTRA-only au,empty,uncontracted,uncertified
legislative_fiscal_link_candidates,territorial_legislation,False,none,1,0,1,0,not_materialized,0,1,data/staging/processed/pr_legislative_fiscal_link_candidates.csv,Manual-review candidate queue linking legislative measures to fiscal records through conservative fiscal terms and agency or municipality text alignment.,empty,uncontracted,uncertified
lihtc,federal,False,none,1,0,1,0,not_materialized,0,1,data/staging/processed/pr_lihtc.csv,,empty,uncontracted,uncertified
loteria_pr,territorial,False,manual_export,1,0,1,0,not_materialized,0,1,data/staging/processed/pr_loteria.csv,"Loteria de Puerto Rico + Loteria Electronica revenue, prize payouts and retailer commissions. Operator-delivered exports.
",empty,uncontracted,uncertified
medicaid_fmap,federal,False,none,1,0,1,0,not_materialized,0,1,data/staging/processed/pr_medicaid_fmap.csv,,empty,uncontracted,uncertified
medicare_advantage,federal,False,none,1,0,1,0,not_materialized,0,1,data/staging/processed/pr_medicare_advantage.csv,,empty,uncontracted,uncertified
medicare_parts,federal,False,none,1,0,1,0,not_materialized,0,1,data/staging/processed/pr_medicare_parts.csv,,empty,uncontracted,uncertified
msrb_rtrs_trades,bonds,False,none,1,0,1,0,not_materialized,0,1,data/staging/processed/pr_msrb_trades.csv,,empty,uncontracted,uncertified
municipal_finance,municipal,False,api_key:FAC_API_KEY,1,0,1,0,not_materialized,0,1,data/staging/processed/pr_municipal_finance.csv,"PR municipal Single Audit (SF-SAC) records from the Federal Audit Clearinghouse (api.fac.gov/general, auditee_state=PR, filtered to MUNICIPIO/MUNICIPALITY OF auditees). API-switch from the OCAM scrape",empty,uncontracted,uncertified
nara_catalog_aws_open_data,provenance_archival,False,none,2,0,2,0,not_materialized,0,0,data/staging/processed/nara_nextgen/nara_bulk_catalog_index.csv,"Future candidate for bulk archival metadata. Evaluate separately from the targeted Catalog API path after dataset location, format, licensing, and storage policy are verified.",empty,uncontracted,uncertified
nara_nextgen_catalog_v3,provenance_archival,False,api_key:NARA_API_KEY,2,0,2,0,not_materialized,0,0,data/staging/processed/nara_nextgen/nara_record_locator_index.csv,"Targeted archival locator only. Do not use as a contract-award, financial-flow, or bulk archival source. Fetcher intentionally not implemented until a credential and bounded query allowlist are availa",empty,uncontracted,uncertified
ncua,federal,False,none,1,0,1,0,not_materialized,0,1,data/staging/processed/pr_ncua_credit_unions.csv,,empty,uncontracted,uncertified
nfip_claims,federal,False,none,1,0,1,0,not_materialized,0,1,data/staging/processed/pr_nfip_claims.csv,,empty,uncontracted,uncertified
ngo_integration_layer,nonprofit,False,none,3,0,3,0,not_materialized,0,1,data/staging/processed/ngos/ngos_master.csv,"NGO / OSFL identity, funding, and coverage layer built from IRS EO BMF, TEOS, PR state registry, and USASpending drops. Also drives the NGO ↔ political-donation crossref (analyze_political_crossref: b",empty,uncontracted,uncertified
nih_reporter,federal,False,none,1,0,1,0,not_materialized,0,1,data/staging/processed/pr_nih_grants.csv,,empty,uncontracted,uncertified
nmtc,federal,False,none,1,0,1,0,not_materialized,0,1,data/staging/processed/pr_nmtc.csv,,empty,uncontracted,uncertified
nonprofits_irs990,federal,False,none,1,0,1,0,not_materialized,0,1,data/staging/processed/pr_nonprofits.csv,,empty,uncontracted,uncertified
oatrh_payroll,territorial,False,manual_export,1,0,1,0,not_materialized,0,1,data/staging/processed/pr_govt_payroll.csv,"PR central-government payroll / salaries (OATRH Nomina). Operator-delivered exports.
",empty,uncontracted,uncertified
oce_socrata_live,political_finance,False,none,1,0,1,0,not_materialized,0,1,data/staging/processed/pr_oce_donations.csv,Public Socrata acquisition for OCE donations with explicit limit/offset pagination. Report exports remain operator-delivered and are separated by ingest_oce.py.,empty,uncontracted,uncertified
ocpr_contracts,territorial,False,none,1,0,1,0,not_materialized,0,1,data/staging/processed/pr_ocpr_contracts.csv,Canonical PR Comptroller (OCPR) contract registry — every PR government contract (~1.34M records). Distinct from oficina_contralor (audit reports only). Scraped live from the public consultacontratos.,empty,unverifiable,uncertified
ofac_sdn,entity_resolution,False,none,1,0,1,0,not_materialized,0,1,data/staging/processed/pr_ofac_sdn.csv,,empty,uncontracted,uncertified
ogpe_permits,municipal,False,manual_export,1,0,1,0,not_materialized,0,1,data/staging/processed/pr_ogpe_permits.csv,"OGPe construction-permit fees and green-energy incentives. Operator-delivered exports.
",empty,uncontracted,uncertified
oia_grants,federal,False,none,1,0,1,0,not_materialized,0,1,data/staging/processed/pr_oia_master.csv,,empty,uncontracted,uncertified
opm_fedscope,federal,False,none,1,0,1,0,not_materialized,0,1,data/staging/processed/pr_federal_payroll.csv,"Federal civilian payroll (employment + average salary) in PR from OPM FedScope. Source URL configurable via FEDSCOPE_DATA_URL; live pull requires network.
",empty,uncontracted,uncertified
opportunity_zones,federal,False,none,1,0,1,0,not_materialized,0,1,data/staging/processed/pr_opportunity_zones.csv,"Qualified Opportunity Zone designated census tracts in PR (Treasury/IRS capital-gains incentive). Source URL configurable via OZ_DATA_URL; live pull requires network.
",empty,uncontracted,uncertified
osl_sutra_crosswalk,territorial_legislation,False,none,1,0,1,0,not_materialized,0,1,data/staging/processed/pr_osl_sutra_crosswalk.json,Deterministic OpenStates-to-official Assembly/SUTRA crosswalk. No network calls; link confidence is based on discovered canonical URLs and confirmation status.,empty,uncontracted,uncertified
p3_authority,territorial,False,none,1,0,1,0,not_materialized,0,1,data/staging/processed/pr_p3_contracts.csv,,empty,uncontracted,uncertified
ports_airports_contracts,infrastructure,False,manual_export,1,0,1,0,not_materialized,0,1,data/staging/processed/pr_ports_airports_contracts.csv,PR Ports Authority / Aerostar contracts and capital projects. Also fed by scripts/parse_aaa_ports_pdf.py from the acquired completed_projects_AAA.pdf.,empty,uncontracted,uncertified
ports_airports_revenue,infrastructure_revenue,False,manual_export,1,0,1,0,not_materialized,0,1,data/staging/processed/pr_ports_airports_revenue.csv,Aggregate port/airport fee revenue (PR Ports Authority + Aerostar/SJU) from audited financials and EMMA disclosures.,empty,uncontracted,uncertified
ports_authority,infrastructure,False,manual_export,1,0,1,0,not_materialized,0,1,data/staging/processed/pr_ports_concessions.csv,"PR Ports Authority concession fees and leases (e.g. Aerostar/LMM airport). Operator-delivered exports.
",empty,uncontracted,uncertified
pr_act_154_excise,territorial,False,none,1,0,1,0,not_materialized,0,0,data/staging/processed/pr_act_154_excise.csv,"Act 154 excise tax on foreign controlled corporations — historically ~$1.8B/yr and 13-21% of the General Fund, the single largest GF revenue line. Hacienda statistics surface; queued for a scraping ad",empty,uncontracted,uncertified
pr_act_60_decrees,territorial,False,none,1,0,1,0,not_materialized,0,1,data/staging/processed/pr_act60_decrees.csv,,empty,uncontracted,uncertified
pr_corporate_registry,manual_export,False,manual_export,1,0,1,0,not_materialized,0,1,data/staging/processed/pr_corporate_registry.csv,,empty,uncontracted,uncertified
pr_fomb,territorial_fiscal_oversight,False,none,5,0,5,0,not_materialized,0,1,data/manifests/fomb_documents_manifest.jsonl,"Financial Oversight and Management Board for Puerto Rico public source family. Enumerates documents, contract reviews, fiscal plans, budgets, fiscal correspondence, reapportionments, quarterly financi",empty,uncontracted,uncertified
pr_fomb_special_reports,territorial_fiscal_oversight,False,none,1,0,1,0,not_materialized,0,1,data/staging/processed/pr_fomb_special_reports.csv,Dedicated special and investigative report surface. Kept distinct from /fomb-reports/ so monthly/annual financial reporting and special-purpose reports retain separate provenance.,empty,uncontracted,uncertified
pr_general_fund_revenues,territorial,False,none,1,0,1,0,not_materialized,0,0,data/staging/processed/pr_general_fund_revenues.csv,"Consolidated PR General Fund net revenues by source (Instituto de Estadisticas ""Ingresos Netos al Fondo General"") — one authoritative series covering Act 154, income tax, IVU, arbitrios, licenses, lot",empty,uncontracted,uncertified
pr_income_tax_collections,territorial,False,none,1,0,1,0,not_materialized,0,0,data/staging/processed/pr_income_tax_collections.csv,PR individual & corporate income tax collections — the income-contribution series from the Instituto de Estadisticas / Datos.PR CKAN portal. Largest recurring General Fund revenue category. Automatabl,empty,uncontracted,uncertified
pr_pensions,territorial,False,none,1,0,1,0,not_materialized,0,1,data/staging/processed/pr_pension_funds.csv,,empty,uncontracted,uncertified
prasa_cer,infrastructure,False,manual_export,1,0,1,0,not_materialized,0,1,data/staging/processed/pr_prasa_cer.csv,P0 - PRASA Capital Expenditure Report (CER) / audited financial-statement line items. Core financial-infrastructure evidence for PR's largest recovery-driven public corporation. Operator-delivered CSV,empty,uncontracted,uncertified
prasa_cip,infrastructure,False,manual_export,1,0,1,0,not_materialized,0,1,data/staging/processed/pr_prasa_cip.csv,"P0 - PRASA Capital Improvement Program (CIP) project list (project, cost, status, fiscal year). Operator-delivered CSV extracts.
",empty,uncontracted,uncertified
prasa_completed_projects,infrastructure,False,manual_export,1,0,1,0,not_materialized,0,1,data/staging/processed/pr_prasa_completed_projects.csv,"P0 - PRASA completed projects — FEMA 406 / COR3 recovery-infrastructure join bridge. Operator-delivered CSV extracts.
",empty,uncontracted,uncertified
