filename,theme,title,source_hint,file_size_bytes,sha256,original_name
federal_register_pr_index.csv,federal_register_index,federal_register_pr_index,Federal Register,324250,6409be0d9ce3b4b1a4bb2597c698664a08d8052ea629180ba1ee31dc80a17d55,documents_matching_puerto_rico.csv
"fiscal_oversight/FOMB - Letter - Governor & Legislative Assembly - PRASA Compliance Certification 2025 Fiscal Plan - June 27, 2025.pdf",fiscal_oversight,"FOMB - Letter - Governor & Legislative Assembly - PRASA Compliance Certification 2025 Fiscal Plan - June 27, 2025",FOMB,7881443,8dd5b0532f56bdfd5bd2b8e2ed60421eeee4b46fa828c04aa5a8cec23f58341c,"FOMB - Letter - Governor & Legislative Assembly - PRASA Compliance Certification 2025 Fiscal Plan - June 27, 2025.pdf"
"fiscal_oversight/FOMB - Letter - Governor & Legislature - Compliance Certification FY24 Fiscal Plan Certification - June 11, 2024.pdf",fiscal_oversight,"FOMB - Letter - Governor & Legislature - Compliance Certification FY24 Fiscal Plan Certification - June 11, 2024",FOMB,10253714,69741b5b790f2346279bbc6f1b4ff2063ee6858815f413a3088a54440f030f2b,"FOMB - Letter - Governor & Legislature - Compliance Certification FY24 Fiscal Plan Certification - June 11, 2024.pdf"
"fiscal_oversight/FOMB - Letter - Governor - PRASA 2025 Fiscal Plan Notice of Violation - April 28, 2025.pdf",fiscal_oversight,"FOMB - Letter - Governor - PRASA 2025 Fiscal Plan Notice of Violation - April 28, 2025",FOMB,539726,7ba53ee2d6bdbe3d09a973251a3f4b6b52184eaf96b29d277b3b9e83f06c5ccb,"FOMB - Letter - Governor - PRASA 2025 Fiscal Plan Notice of Violation - April 28, 2025.pdf"
"fiscal_oversight/FOMB - Letter - Governor - PRASA FY2026 Budget Compliance Certification - June 27, 2025.pdf",fiscal_oversight,"FOMB - Letter - Governor - PRASA FY2026 Budget Compliance Certification - June 27, 2025",FOMB,398592,f93dcbf4ecedc9e8a3b54130578ebad278d5949281fc85ea56168cf84c7bf1f1,"FOMB - Letter - Governor - PRASA FY2026 Budget Compliance Certification - June 27, 2025.pdf"
"fiscal_oversight/FOMB - Letter - PRASA - FY2025 Budget Request Restricted Reserve Account - October 7, 2024.pdf",fiscal_oversight,"FOMB - Letter - PRASA - FY2025 Budget Request Restricted Reserve Account - October 7, 2024",FOMB,532615,b80fbb73f8e942cda91b8983f9082314708695885fa4dc27e51e7f365da7509b,"FOMB - Letter - PRASA - FY2025 Budget Request Restricted Reserve Account - October 7, 2024.pdf"
"fiscal_oversight/FOMB - Presupuesto - Governor & Legislative Assembly - CW FY26 Consolidated Budget Resolution - June 27, 2025.pdf",fiscal_oversight,"FOMB - Presupuesto - Governor & Legislative Assembly - CW FY26 Consolidated Budget Resolution - June 27, 2025",FOMB,3878818,92cc7ecc55bcb078c32f0014b351ae8321e07a60200723695bc92900a91bbbf2,"FOMB - Presupuesto - Governor & Legislative Assembly - CW FY26 Consolidated Budget Resolution - June 27, 2025 .pdf"
fiscal_oversight/PRASA FY2026 Quarterly Financial Reporting - Sep 2025.pdf,fiscal_oversight,PRASA FY2026 Quarterly Financial Reporting - Sep 2025,PRASA / FOMB,1141234,69fb1d807c0829408dac024e12fcf0c9dbca2df44698f4a499902ce6160e0e5e,PRASA FY2026 Quarterly Financial Reporting - Sep 2025.pdf
legal_filings/20251222-AP20230003-Hearing-Examiners-Order-on-Exhibits-Miscellaneous.pdf,legal_filings,20251222-AP20230003-Hearing-Examiners-Order-on-Exhibits-Miscellaneous,,11516026,7643b22138337e0d4a024b222603ef28af0e1e6600f61c40f548dafdaa01365d,20251222-AP20230003-Hearing-Examiners-Order-on-Exhibits-Miscellaneous.pdf
legal_filings/RioDeLaPlataPAC_9apr2015.pdf,legal_filings,RioDeLaPlataPAC_9apr2015,,1977011,178e42f6fb4260df8483bfdce0f9fc1cb66a3ad44a2ea81f8501b08b325e3486,RioDeLaPlataPAC_9apr2015.pdf
legal_filings/Via-Verde-NOI-10-26-2011.pdf,legal_filings,Via-Verde-NOI-10-26-2011,,1595073,6b56b28cf8bb3a13b487fb7bb7f65a23c5bee5c89f8410b0548a35c93e9867f8,Via-Verde-NOI-10-26-2011.pdf
solicitations/PRIDCO Solicitation Statement.pdf,solicitations,PRIDCO Solicitation Statement,PRIDCO,18666471,c4bdd2796c7434f44044fb4afe6ec71f49e6b0c431dc6bcc9958e63c5ef64c31,PRIDCO Solicitation Statement.pdf
solicitations/US0291_NOFA_FY2023.pdf,solicitations,US0291_NOFA_FY2023,,258608,3a7b5f4c67b9ebd714adbd180f264f7e9546c339f01c56748d73b478395d4749,US0291_NOFA_FY2023.pdf
uncategorized/19168.pdf,uncategorized,19168,,21629494,c7729f6d197c5832bf49fa1ceeba6549792be5e0ac243c2a891f23bf8a70c18b,19168.pdf
uncategorized/FY2024 CER_Final.pdf,uncategorized,FY2024 CER_Final,,3577630,c07a004100fce2b3757ec84180f0742b1831cbc804b06a8402fec24cd8663a44,FY2024 CER_Final.pdf
uncategorized/Preliminary Analysis.pdf,uncategorized,Preliminary Analysis,,23309,133cf5d4e05ebf077daf299bcb275d9afb09a9aed3eed5d149060f0763a42afa,Preliminary Analysis.pdf
uncategorized/p16021coll6_88.pdf,uncategorized,p16021coll6_88,,380580,5ea4deec97e8537077072de7d8a8cf4f8ae97b60d0b3e7e330df782cc2473094,p16021coll6_88.pdf
