priority,classification,source_family,expected_input,target_output_path,command_mode,command_selected,command_executed,command_exit_code,validation_passed,validation_reason,row_count,missing_columns,blocker_reason,command_output_excerpt
11,automated_backfill_available,federal_sectoral_usda,data/staging/processed/pr_usda_master.csv,data/staging/processed/pr_usda_master.csv,dry_run_plan,DRY_RUN: python scripts/download_usda.py --force,False,,False,missing_output,0,award_id|recipient_name|recipient_name_normalized|recipient_uei|awarding_agency|awarding_sub_agency|obligated_amount|award_date|fiscal_year|pop_state|pop_county|description|source_file|source_dataset|award_category|source_system|source_record_id|source_lineage_path|source_lineage_mode,,
12,automated_backfill_available,federal_sectoral_doe,data/staging/processed/pr_doe_master.csv,data/staging/processed/pr_doe_master.csv,dry_run_plan,DRY_RUN: python scripts/download_doe.py --force,False,,False,missing_output,0,award_id|recipient_name|recipient_name_normalized|recipient_uei|awarding_agency|awarding_sub_agency|obligated_amount|award_date|fiscal_year|pop_state|pop_county|description|source_file|source_dataset|award_category|source_system|source_record_id|source_lineage_path|source_lineage_mode,,
13,automated_backfill_available,hud_cdbg,data/staging/processed/pr_hud_master.csv,data/staging/processed/pr_hud_master.csv,dry_run_plan,DRY_RUN: python scripts/download_hud.py --force,False,,False,missing_output,0,award_id|recipient_name|recipient_name_normalized|recipient_uei|awarding_agency|awarding_sub_agency|obligated_amount|award_date|fiscal_year|pop_state|pop_county|description|source_file|source_dataset|award_category|source_system|source_record_id|source_lineage_path|source_lineage_mode,,
14,automated_backfill_available,federal_sectoral_sbir,data/staging/processed/pr_sbir_master.csv,data/staging/processed/pr_sbir_master.csv,dry_run_plan,DRY_RUN: python scripts/download_sbir.py --force,False,,False,missing_output,0,award_id|recipient_name|recipient_name_normalized|recipient_uei|awarding_agency|awarding_sub_agency|obligated_amount|award_date|fiscal_year|pop_state|pop_county|description|source_file|source_dataset|award_category|source_system|source_record_id|source_lineage_path|source_lineage_mode,,
15,automated_backfill_available,federal_sectoral_epa,data/staging/processed/pr_epa_master.csv,data/staging/processed/pr_epa_master.csv,dry_run_plan,DRY_RUN: python scripts/download_epa.py --force,False,,False,missing_output,0,award_id|recipient_name|recipient_name_normalized|recipient_uei|awarding_agency|awarding_sub_agency|obligated_amount|award_date|fiscal_year|pop_state|pop_county|description|source_file|source_dataset|award_category|source_system|source_record_id|source_lineage_path|source_lineage_mode,,
16,automated_backfill_available,federal_sectoral_usace,data/staging/processed/pr_usace_civil_master.csv,data/staging/processed/pr_usace_civil_master.csv,dry_run_plan,DRY_RUN: python scripts/download_usace_civil.py --force,False,,False,missing_output,0,award_id|recipient_name|recipient_name_normalized|recipient_uei|awarding_agency|awarding_sub_agency|obligated_amount|award_date|fiscal_year|pop_state|pop_county|description|source_file|source_dataset|award_category|source_system|source_record_id|source_lineage_path|source_lineage_mode,,
17,automated_backfill_available,federal_sectoral_wioa,data/staging/processed/pr_wioa_grants.csv,data/staging/processed/pr_wioa_grants.csv,dry_run_plan,DRY_RUN: python scripts/download_wioa.py --force,False,,False,missing_output,0,award_id|recipient_name|recipient_name_normalized|recipient_uei|awarding_agency|awarding_sub_agency|obligated_amount|award_date|fiscal_year|pop_state|pop_county|description|source_file|source_dataset|award_category|source_system|source_record_id|source_lineage_path|source_lineage_mode,,
18,automated_backfill_available,usaspending_federal_awards_backbone,data/staging/expansion/expansion_idv_indirect_pr.csv,data/staging/expansion/expansion_idv_indirect_pr.csv,dry_run_plan,DRY_RUN: python scripts/auto_download.py --only usaspending --force,False,,False,missing_output,0,Award ID|Recipient Name|Awarding Agency|Awarding Sub Agency|Total Obligation|Start Date|Place of Performance State Code|Place of Performance City|Description|generated_internal_id,,
19,automated_backfill_available,usaspending_federal_awards_backbone,data/staging/expansion/expansion_dod_upr_2001_2015.csv,data/staging/expansion/expansion_dod_upr_2001_2015.csv,dry_run_plan,DRY_RUN: python scripts/auto_download.py --only usaspending --force,False,,False,missing_output,0,Award ID|Recipient Name|Awarding Agency|Awarding Sub Agency|Total Obligation|Start Date|Place of Performance State Code|Place of Performance City|Description|generated_internal_id,,
20,automated_backfill_available,usaspending_federal_awards_backbone,data/staging/expansion/expansion_dod_upr_2016_2025.csv,data/staging/expansion/expansion_dod_upr_2016_2025.csv,dry_run_plan,DRY_RUN: python scripts/auto_download.py --only usaspending --force,False,,False,missing_output,0,Award ID|Recipient Name|Awarding Agency|Awarding Sub Agency|Total Obligation|Start Date|Place of Performance State Code|Place of Performance City|Description|generated_internal_id,,
21,automated_backfill_available,usaspending_federal_awards_backbone,data/staging/expansion/expansion_reconstruction_2017_2025.csv,data/staging/expansion/expansion_reconstruction_2017_2025.csv,dry_run_plan,DRY_RUN: python scripts/auto_download.py --only usaspending --force,False,,False,missing_output,0,Award ID|Recipient Name|Awarding Agency|Awarding Sub Agency|Total Obligation|Start Date|Place of Performance State Code|Place of Performance City|Description|generated_internal_id,,
