generated_at,expected_input,source_family,blocker_class,missing_reason,pause_status,retry_status,target_dropzone_path,target_output_path,unfreeze_condition
2026-05-09T04:18:35Z,data/staging/processed/pr_research_master.csv,federal_research,manual_file_required,source_file_not_found,PAUSED_EXTERNAL_DELIVERY_REQUIRED,SUPPRESSED,data/manual_import_dropzone/r4_8e/federal_research/pr_research_master.csv,data/staging/processed/pr_research_master.csv,"Provide the required manual source file under data/manual_import_dropzone/r4_8e/federal_research/pr_research_master.csv, validate schema/rows, and stage to data/staging/processed/pr_research_master.csv."
2026-05-09T04:18:35Z,data/staging/processed/pr_usda_master.csv,federal_sectoral_usda,physical_validated_file_missing,source_file_not_found,PAUSED_EXTERNAL_DELIVERY_REQUIRED,SUPPRESSED,,data/staging/processed/pr_usda_master.csv,Deliver the physical validated source file for data/staging/processed/pr_usda_master.csv with matching manifest-compatible hash and nonzero rows.
2026-05-09T04:18:35Z,data/staging/processed/pr_sba_loans_master.csv,sba_loans,manual_file_required,source_file_not_found,PAUSED_EXTERNAL_DELIVERY_REQUIRED,SUPPRESSED,data/manual_import_dropzone/r4_8e/sba_loans/pr_sba_loans_master.csv,data/staging/processed/pr_sba_loans_master.csv,"Provide the required manual source file under data/manual_import_dropzone/r4_8e/sba_loans/pr_sba_loans_master.csv, validate schema/rows, and stage to data/staging/processed/pr_sba_loans_master.csv."
2026-05-09T04:18:35Z,data/staging/processed/pr_wioa_grants.csv,federal_sectoral_wioa,physical_validated_file_missing,source_file_not_found,PAUSED_EXTERNAL_DELIVERY_REQUIRED,SUPPRESSED,,data/staging/processed/pr_wioa_grants.csv,Deliver the physical validated source file for data/staging/processed/pr_wioa_grants.csv with matching manifest-compatible hash and nonzero rows.
2026-05-09T04:18:35Z,data/staging/processed/pr_cdbg_dr_master.csv,hud_cdbg,manual_file_required,source_file_not_found,PAUSED_EXTERNAL_DELIVERY_REQUIRED,SUPPRESSED,data/manual_import_dropzone/r4_8e/hud_cdbg/pr_cdbg_dr_master.csv,data/staging/processed/pr_cdbg_dr_master.csv,"Provide the required manual source file under data/manual_import_dropzone/r4_8e/hud_cdbg/pr_cdbg_dr_master.csv, validate schema/rows, and stage to data/staging/processed/pr_cdbg_dr_master.csv."
2026-05-09T04:18:35Z,data/staging/processed/pr_sbir_master.csv,federal_sectoral_sbir,manual_file_required,source_file_not_found,PAUSED_EXTERNAL_DELIVERY_REQUIRED,SUPPRESSED,data/manual_import_dropzone/r4_8e/federal_sectoral_sbir/pr_sbir_master.csv,data/staging/processed/pr_sbir_master.csv,"Provide the required manual source file under data/manual_import_dropzone/r4_8e/federal_sectoral_sbir/pr_sbir_master.csv, validate schema/rows, and stage to data/staging/processed/pr_sbir_master.csv."
2026-05-09T04:18:35Z,data/staging/processed/pr_usace_civil_master.csv,federal_sectoral_usace,manual_file_required,source_file_not_found,PAUSED_EXTERNAL_DELIVERY_REQUIRED,SUPPRESSED,data/manual_import_dropzone/r4_8e/federal_sectoral_usace/pr_usace_civil_master.csv,data/staging/processed/pr_usace_civil_master.csv,"Provide the required manual source file under data/manual_import_dropzone/r4_8e/federal_sectoral_usace/pr_usace_civil_master.csv, validate schema/rows, and stage to data/staging/processed/pr_usace_civil_master.csv."
2026-05-09T04:18:35Z,data/staging/expansion/expansion_idv_indirect_pr.csv,usaspending_federal_awards_backbone,manual_file_required,source_file_not_found,PAUSED_EXTERNAL_DELIVERY_REQUIRED,SUPPRESSED,data/manual_import_dropzone/r4_8e/usaspending_federal_awards_backbone/expansion_idv_indirect_pr.csv,data/staging/expansion/expansion_idv_indirect_pr.csv,"Provide the required manual source file under data/manual_import_dropzone/r4_8e/usaspending_federal_awards_backbone/expansion_idv_indirect_pr.csv, validate schema/rows, and stage to data/staging/expansion/expansion_idv_indirect_pr.csv."
2026-05-09T04:18:35Z,data/staging/expansion/expansion_dod_upr_2001_2015.csv,usaspending_federal_awards_backbone,manual_file_required,source_file_not_found,PAUSED_EXTERNAL_DELIVERY_REQUIRED,SUPPRESSED,data/manual_import_dropzone/r4_8e/usaspending_federal_awards_backbone/expansion_dod_upr_2001_2015.csv,data/staging/expansion/expansion_dod_upr_2001_2015.csv,"Provide the required manual source file under data/manual_import_dropzone/r4_8e/usaspending_federal_awards_backbone/expansion_dod_upr_2001_2015.csv, validate schema/rows, and stage to data/staging/expansion/expansion_dod_upr_2001_2015.csv."
2026-05-09T04:18:35Z,data/staging/expansion/expansion_dod_upr_2016_2025.csv,usaspending_federal_awards_backbone,manual_file_required,source_file_not_found,PAUSED_EXTERNAL_DELIVERY_REQUIRED,SUPPRESSED,data/manual_import_dropzone/r4_8e/usaspending_federal_awards_backbone/expansion_dod_upr_2016_2025.csv,data/staging/expansion/expansion_dod_upr_2016_2025.csv,"Provide the required manual source file under data/manual_import_dropzone/r4_8e/usaspending_federal_awards_backbone/expansion_dod_upr_2016_2025.csv, validate schema/rows, and stage to data/staging/expansion/expansion_dod_upr_2016_2025.csv."
2026-05-09T04:18:35Z,data/staging/expansion/expansion_reconstruction_2017_2025.csv,usaspending_federal_awards_backbone,manual_file_required,source_file_not_found,PAUSED_EXTERNAL_DELIVERY_REQUIRED,SUPPRESSED,data/manual_import_dropzone/r4_8e/usaspending_federal_awards_backbone/expansion_reconstruction_2017_2025.csv,data/staging/expansion/expansion_reconstruction_2017_2025.csv,"Provide the required manual source file under data/manual_import_dropzone/r4_8e/usaspending_federal_awards_backbone/expansion_reconstruction_2017_2025.csv, validate schema/rows, and stage to data/staging/expansion/expansion_reconstruction_2017_2025.csv."
