priority,retry_rank,expected_input,source_family,primary_blocker_class,next_action,retry_eligible,retry_attempted,retry_status,target_output_path,row_count,validation_status,manifest_written,failure_reason,producer_script,command,patched_command,command_exit_code,command_excerpt_safe,schema_alignment_status,schema_alignment_added_count,forbidden_artifact_usage,manual_fallback_required,disposition
11,3,data/staging/processed/pr_usda_master.csv,federal_sectoral_usda,schema_mismatch,add_schema_mapping,True,True,failed_command,data/staging/processed/pr_usda_master.csv,0,not_run,False,2026-05-08 17:10:25 [INFO] Starting USDA grants/loans download for Puerto Rico... 2026-05-08 17:10:25 [INFO] [Window 2000f2009] 2007-10-01 to 2009-09-30 2026-05-08 17:10:25 [INFO] Fetching usda_grants_pop_2000f2009.csv (2007-10-01 → 2009-09,scripts/download_usda.py,python scripts/download_usda.py --force,python scripts/download_usda.py --force,1,2026-05-08 17:10:25 [INFO] Starting USDA grants/loans download for Puerto Rico... 2026-05-08 17:10:25 [INFO] [Window 2000f2009] 2007-10-01 to 2009-09-30 2026-05-08 17:10:25 [INFO] Fetching usda_grants_pop_2000f2009.csv (2007-10-01 → 2009-09,not_applicable,0,False,True,manual_fallback_remaining
12,4,data/staging/processed/pr_doe_master.csv,federal_sectoral_doe,schema_mismatch,add_schema_mapping,True,True,success,data/staging/processed/pr_doe_master.csv,180,passed,True,,scripts/download_doe.py,python scripts/download_doe.py --force,python scripts/download_doe.py --force,0,"2026-05-08 17:10:53 [INFO] Starting DOE grants download for Puerto Rico... 2026-05-08 17:10:53 [INFO] [Window 2000f2009] 2007-10-01 to 2009-09-30 2026-05-08 17:10:53 [INFO] Fetching doe_pop_2000f2009.csv (2007-10-01 → 2009-09-30, filter=pop",aligned,5,False,False,fixed_and_retried
13,5,data/staging/processed/pr_hud_master.csv,hud_cdbg,schema_mismatch,add_schema_mapping,True,True,success,data/staging/processed/pr_hud_master.csv,619,passed,True,,scripts/download_hud.py,python scripts/download_hud.py --force,python scripts/download_hud.py --force,0,"2026-05-08 17:11:13 [INFO] Starting HUD grants download for Puerto Rico... 2026-05-08 17:11:13 [INFO] [Window 2000f2009] 2007-10-01 to 2009-09-30 2026-05-08 17:11:13 [INFO] Fetching hud_pop_2000f2009.csv (2007-10-01 → 2009-09-30, filter=pop",aligned,5,False,False,fixed_and_retried
14,10,data/staging/processed/pr_sbir_master.csv,federal_sectoral_sbir,producer_exception,patch_producer_script,True,True,failed_no_data,data/staging/processed/pr_sbir_master.csv,0,not_run,False,target output has zero rows,scripts/download_sbir.py,python scripts/download_sbir.py --force,python scripts/download_sbir.py --force --allow-empty-success,0,2026-05-08 17:11:26 [INFO] Starting SBIR/STTR download for Puerto Rico... 2026-05-08 17:11:26 [INFO] Trying endpoint: https://api.sbir.gov/public/awards 2026-05-08 17:11:27 [WARNING] Attempt 1 failed (HTTPSConnectionPool(host='api.sbir.gov',not_applicable,0,False,True,manual_fallback_remaining
15,6,data/staging/processed/pr_epa_master.csv,federal_sectoral_epa,schema_mismatch,add_schema_mapping,True,True,success,data/staging/processed/pr_epa_master.csv,631,passed,True,,scripts/download_epa.py,python scripts/download_epa.py --force,python scripts/download_epa.py --force,0,2026-05-08 17:11:36 [INFO] Starting EPA grants download for Puerto Rico... 2026-05-08 17:11:36 [INFO] [Window 2000f2009] 2007-10-01 to 2009-09-30 2026-05-08 17:11:36 [INFO] Fetching epa_pop_2000f2009.csv (filter=pop) 2026-05-08 17:11:37 [WA,aligned,5,False,False,fixed_and_retried
16,11,data/staging/processed/pr_usace_civil_master.csv,federal_sectoral_usace,producer_exception,patch_producer_script,True,True,failed_command,data/staging/processed/pr_usace_civil_master.csv,0,not_run,False,2026-05-08 17:11:58 [INFO] Starting USACE civil works download for Puerto Rico... 2026-05-08 17:11:58 [INFO] [Window 2000f2009] 2007-10-01 to 2009-09-30 2026-05-08 17:11:58 [INFO] Fetching usace_civil_pop_2000f2009.csv (filter=pop) 2026-05-,scripts/download_usace_civil.py,python scripts/download_usace_civil.py --force,python scripts/download_usace_civil.py --force --allow-empty-success,1,2026-05-08 17:11:58 [INFO] Starting USACE civil works download for Puerto Rico... 2026-05-08 17:11:58 [INFO] [Window 2000f2009] 2007-10-01 to 2009-09-30 2026-05-08 17:11:58 [INFO] Fetching usace_civil_pop_2000f2009.csv (filter=pop) 2026-05-,not_applicable,0,False,True,manual_fallback_remaining
17,7,data/staging/processed/pr_wioa_grants.csv,federal_sectoral_wioa,schema_mismatch,add_schema_mapping,True,True,success,data/staging/processed/pr_wioa_grants.csv,444,passed,True,,scripts/download_wioa.py,python scripts/download_wioa.py --force,python scripts/download_wioa.py --force,0,2026-05-08 17:12:10 [INFO] Starting WIOA grants download for Puerto Rico... 2026-05-08 17:12:10 [INFO] [Window 2000f2009] 2007-10-01 to 2009-09-30 2026-05-08 17:12:10 [INFO] Fetching wioa_pop_2000f2009.csv (filter=pop) 2026-05-08 17:12:10 [,aligned,5,False,False,fixed_and_retried
18,17,data/staging/expansion/expansion_idv_indirect_pr.csv,usaspending_federal_awards_backbone,endpoint_unavailable,endpoint_review,False,False,not_retried_endpoint_unavailable,data/staging/expansion/expansion_idv_indirect_pr.csv,0,not_run,False,endpoint unavailable source left queued,scripts/auto_download.py,python scripts/auto_download.py --only usaspending --force,,,,not_applicable,0,False,True,manual_fallback_remaining
19,18,data/staging/expansion/expansion_dod_upr_2001_2015.csv,usaspending_federal_awards_backbone,endpoint_unavailable,endpoint_review,False,False,not_retried_endpoint_unavailable,data/staging/expansion/expansion_dod_upr_2001_2015.csv,0,not_run,False,endpoint unavailable source left queued,scripts/auto_download.py,python scripts/auto_download.py --only usaspending --force,,,,not_applicable,0,False,True,manual_fallback_remaining
20,19,data/staging/expansion/expansion_dod_upr_2016_2025.csv,usaspending_federal_awards_backbone,endpoint_unavailable,endpoint_review,False,False,not_retried_endpoint_unavailable,data/staging/expansion/expansion_dod_upr_2016_2025.csv,0,not_run,False,endpoint unavailable source left queued,scripts/auto_download.py,python scripts/auto_download.py --only usaspending --force,,,,not_applicable,0,False,True,manual_fallback_remaining
21,20,data/staging/expansion/expansion_reconstruction_2017_2025.csv,usaspending_federal_awards_backbone,endpoint_unavailable,endpoint_review,False,False,not_retried_endpoint_unavailable,data/staging/expansion/expansion_reconstruction_2017_2025.csv,0,not_run,False,endpoint unavailable source left queued,scripts/auto_download.py,python scripts/auto_download.py --only usaspending --force,,,,not_applicable,0,False,True,manual_fallback_remaining
