source_id,family,required,authentication,producer_script,script_present,expected_output_count,expected_output_status,has_canonical_manifest,endpoint_url,update_cadence,notes
opencorporates,entity_resolution,False,api_key:OPENCORPORATES_API_TOKEN,scripts/download_opencorporates.py,True,1,missing,False,https://opencorporates.com/,ad_hoc,
pr_corporate_registry,manual_export,False,manual_export,scripts/ingest_active_contractors.py,True,1,missing,False,https://rceweb.estado.pr.gov/,ad_hoc,
medicaid_fmap,federal,False,none,scripts/download_medicaid_fmap.py,True,1,missing,False,https://www.medicaid.gov/medicaid/financial-management/index.html,yearly,
ssa,federal,False,none,scripts/download_ssa.py,True,1,missing,False,https://www.ssa.gov/data/,yearly,
medicare_parts,federal,False,none,scripts/download_medicare_parts.py,True,1,missing,False,https://www.cms.gov/data-research,yearly,
medicare_advantage,federal,False,none,scripts/download_medicare_advantage.py,True,1,missing,False,https://www.cms.gov/data-research/statistics-trends-and-reports/medicare-advantage-rates-statistics,yearly,
chip,federal,False,none,scripts/download_chip.py,True,1,missing,False,https://www.medicaid.gov/chip/index.html,yearly,
cms_open_payments,federal,False,none,scripts/download_cms.py,True,1,missing,False,https://openpaymentsdata.cms.gov/,yearly,
wic,federal,False,none,scripts/download_wic.py,True,1,missing,False,https://www.fns.usda.gov/wic,yearly,
wioa,federal,False,none,scripts/download_wioa.py,True,1,missing,False,https://www.dol.gov/agencies/eta/wioa,yearly,
snap_nap,federal,False,none,scripts/download_snap_nap.py,True,1,missing,False,https://www.fns.usda.gov/snap/nutrition-assistance-puerto-rico,yearly,
va_benefits,federal,False,none,scripts/download_va.py,True,1,missing,False,https://www.benefits.va.gov/REPORTS/,yearly,
fdic,federal,False,none,scripts/download_fdic.py,True,1,missing,False,https://www.fdic.gov/resources/data-tools/,quarterly,
ncua,federal,False,none,scripts/download_ncua.py,True,1,missing,False,https://www.ncua.gov/analysis/credit-union-corporate-call-report-data,quarterly,
fhlb,federal,False,none,scripts/download_fhlb.py,True,1,missing,False,https://www.fhfa.gov/data,quarterly,
sec_edgar,federal,False,none,scripts/download_sec.py,True,1,missing,False,https://www.sec.gov/edgar,monthly,
sec_13f_nport,federal,False,none,scripts/download_sec_holdings.py,True,1,missing,False,https://www.sec.gov/edgar/search-and-access,quarterly,
fcc_usf,federal,False,none,scripts/download_fcc.py,True,1,missing,False,https://www.fcc.gov/general/universal-service-fund,yearly,
nfip_claims,federal,False,none,scripts/download_nfip.py,True,1,missing,False,https://www.fema.gov/openfema-data-page/fima-nfip-redacted-claims-v2,monthly,
lihtc,federal,False,none,scripts/download_lihtc.py,True,1,missing,False,https://www.huduser.gov/portal/datasets/lihtc.html,yearly,
nmtc,federal,False,none,scripts/download_nmtc.py,True,1,missing,False,https://www.cdfifund.gov/programs-training/programs/new-markets-tax-credit,yearly,
nonprofits_irs990,federal,False,none,scripts/download_nonprofits.py,True,1,missing,False,https://projects.propublica.org/nonprofits/api,yearly,
gao_ig_audits,federal,False,none,scripts/download_gao_ig.py,True,1,missing,False,https://www.gao.gov/,monthly,
dol_whd_osha,federal,False,none,scripts/download_dol.py,True,1,missing,False,https://www.dol.gov/agencies/whd,monthly,
sf133_budget_execution,federal,False,none,scripts/download_sf133.py,True,1,missing,False,https://www.whitehouse.gov/omb/budget/sf-133/,quarterly,
research_grants,federal,False,none,scripts/download_research.py,True,1,missing,False,https://www.grants.gov/,weekly,
grants_gov,federal,False,none,scripts/download_grants.py,True,1,missing,False,https://www.grants.gov/,weekly,
